,,generation frequency,mean rank position,exemplar strength,category strength,,,,,,,,,,,,,,,,,,,,
bazooka,bazooka,12,4.9,0.067,0.000,,,,,,,,,,,,,,,,,,,,
bijl,axe,9,4.6,0.004,0.003,,,,,,,,,,,,,,,,,,,,
boksbeugel,knuckle dusters,6,4,0.007,0.000,,,,,,,,,,,,,,,,,,,,
boog,bow,16,4.8,0.007,0.013,,,,,,,,,,,,,,,,,,,,
dolk,dagger,26,4,0.050,0.013,,,,,,,,,,,,,,,,,,,,
geweer,rifle,71,1.9,0.018,0.078,,,,,,,,,,,,,,,,,,,,
granaat,grenade,8,5.6,0.033,0.000,,,,,,,,,,,,,,,,,,,,
kanon,canon,28,4.9,0.018,0.000,,,,,,,,,,,,,,,,,,,,
katapult,slingshot,3,4.6,0.025,0.000,,,,,,,,,,,,,,,,,,,,
knuppel,club,23,4.3,0.011,0.000,,,,,,,,,,,,,,,,,,,,
mitraillette,machine gun,18,4.4,0.025,0.000,,,,,,,,,,,,,,,,,,,,
pistool,pistol,60,2,0.050,0.049,,,,,,,,,,,,,,,,,,,,
schild,shield,3,6.6,0.033,0.007,,,,,,,,,,,,,,,,,,,,
speer,spear,15,5.6,0.057,0.000,,,,,,,,,,,,,,,,,,,,
stok,stick,15,4.5,0.000,0.000,,,,,,,,,,,,,,,,,,,,
tank,tank,6,5.7,0.000,0.000,,,,,,,,,,,,,,,,,,,,
touw,rope,15,4.2,0.000,0.000,,,,,,,,,,,,,,,,,,,,
tweeloop,double barreled shotgun,2,2,0.032,0.000,,,,,,,,,,,,,,,,,,,,
zwaard,sword,34,4.2,0.004,0.007,,,,,,,,,,,,,,,,,,,,
zweep,whip,4,5.8,0.000,0.000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
