,,generation frequency,mean rank position,exemplar strength,category strength,,,,,,,,,,,,,,,,,,,,
arend,eagle,31,4.870967742,0.178,0.000,,,,,,,,,,,,,,,,,,,,
duif,dove,42,4.261904762,0.093,0.004,,,,,,,,,,,,,,,,,,,,
eend,duck,11,6.090909091,0.030,0.000,,,,,,,,,,,,,,,,,,,,
ekster,magpie,42,4.404761905,0.217,0.004,,,,,,,,,,,,,,,,,,,,
fazant,pheasant,1,7,0.144,0.000,,,,,,,,,,,,,,,,,,,,
gier,vulture,7,7,0.169,0.000,,,,,,,,,,,,,,,,,,,,
haan,rooster,1,6,0.000,0.000,,,,,,,,,,,,,,,,,,,,
kalkoen,turkey,1,6,0.022,0.000,,,,,,,,,,,,,,,,,,,,
kanarie,cabary,60,3,0.154,0.015,,,,,,,,,,,,,,,,,,,,
kip,chicken,19,5.578947368,0.019,0.007,,,,,,,,,,,,,,,,,,,,
koekoek,cuckoo,6,5,0.251,0.000,,,,,,,,,,,,,,,,,,,,
kraai,crow,34,5.264705882,0.201,0.000,,,,,,,,,,,,,,,,,,,,
mees,chickadee,24,3.166666667,0.261,0.000,,,,,,,,,,,,,,,,,,,,
meeuw,seagull,33,4.121212121,0.159,0.011,,,,,,,,,,,,,,,,,,,,
merel,blackbird,48,3.541666667,0.248,0.007,,,,,,,,,,,,,,,,,,,,
mus,sparrow,95,2.747368421,0.222,0.030,,,,,,,,,,,,,,,,,,,,
ooievaar,stork,14,5.928571429,0.115,0.007,,,,,,,,,,,,,,,,,,,,
papegaai,parrot,40,3.925,0.146,0.004,,,,,,,,,,,,,,,,,,,,
parkiet,parakeet,23,4.260869565,0.199,0.004,,,,,,,,,,,,,,,,,,,,
pauw,peacock,2,5.5,0.067,0.004,,,,,,,,,,,,,,,,,,,,
pelikaan,pelican,2,6.5,0.191,0.000,,,,,,,,,,,,,,,,,,,,
pinguïn,penguin,3,7.333333333,0.030,0.000,,,,,,,,,,,,,,,,,,,,
reiger,heron,4,6,0.196,0.000,,,,,,,,,,,,,,,,,,,,
roodborstje,robin,71,3.816901408,0.230,0.019,,,,,,,,,,,,,,,,,,,,
specht,woodpecker,24,4.5,0.207,0.000,,,,,,,,,,,,,,,,,,,,
struisvogel,ostrich,16,5,0.044,0.000,,,,,,,,,,,,,,,,,,,,
uil,owl,9,6.222222222,0.074,0.000,,,,,,,,,,,,,,,,,,,,
valk,falcon,5,4.8,0.210,0.000,,,,,,,,,,,,,,,,,,,,
zwaan,swan,1,8,0.037,0.000,,,,,,,,,,,,,,,,,,,,
zwaluw,swallow,21,4.19047619,0.184,0.004,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
