,,generation frequency,mean rank position,exemplar strength,category strength,,,,,,,,,,,,,,,,,,,
bij,bee ,66,3.742424242,0.000,0.059,,,,,,,,,,,,,,,,,,,
bloedzuiger,leech,1,5,0.026,0.000,,,,,,,,,,,,,,,,,,,
daas,horsefly,4,5.5,0.059,0.000,,,,,,,,,,,,,,,,,,,
duizendpoot,centipede,11,5.727272727,0.133,0.000,,,,,,,,,,,,,,,,,,,
fruitvlieg,fruit fly,2,7,0.034,0.000,,,,,,,,,,,,,,,,,,,
hommel,bumblebee,12,6.5,0.030,0.004,,,,,,,,,,,,,,,,,,,
kakkerlak,cockroach,18,4.277777778,0.078,0.004,,,,,,,,,,,,,,,,,,,
kever,beetle,50,4.22,0.093,0.022,,,,,,,,,,,,,,,,,,,
krekel,cricket,9,3,0.082,0.004,,,,,,,,,,,,,,,,,,,
libel,dragonfly,10,5.6,0.074,0.000,,,,,,,,,,,,,,,,,,,
lieveheersbeestje,ladybug,28,4.321428571,0.052,0.004,,,,,,,,,,,,,,,,,,,
luis,louse,6,6.666666667,0.007,0.000,,,,,,,,,,,,,,,,,,,
meikever,cockchafer,3,4,0.099,0.000,,,,,,,,,,,,,,,,,,,
mier,ant,67,3.47761194,0.063,0.067,,,,,,,,,,,,,,,,,,,
mot,moth,2,6,0.033,0.000,,,,,,,,,,,,,,,,,,,
mug,mosquito,99,2.565656566,0.038,0.085,,,,,,,,,,,,,,,,,,,,,
oorworm,earwig,3,6.666666667,0.064,0.000,,,,,,,,,,,,,,,,,,,,,
pissebed,wood louse,3,6.333333333,0.133,0.000,,,,,,,,,,,,,,,,,,,,,
rups,caterpillar,6,5.833333333,0.004,0.004,,,,,,,,,,,,,,,,,,,,,
spin,spider,54,3.574074074,0.043,0.037,,,,,,,,,,,,,,,,,,,,,
sprinkhaan,grasshopper,17,5.058823529,0.052,0.000,,,,,,,,,,,,,,,,,,,,,
vlieg,fly,101,2.277227723,0.057,0.148,,,,,,,,,,,,,,,,,,,,,
vlinder,butterfly,18,5.333333333,0.030,0.004,,,,,,,,,,,,,,,,,,,,,
vlo,flee,11,5.181818182,0.022,0.000,,,,,,,,,,,,,,,,,,,,,
wesp,wasp,55,4.181818182,0.026,0.022,,,,,,,,,,,,,,,,,,,,,
worm,worm,16,4.3125,0.007,0.004,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
