,,generation frequency,mean rank position,exemplar strength,category strength,,,,,,,,,,,,,,,,,,,,,
adder,viper,5,3,0.011,0.000,,,,,,,,,,,,,,,,,,,,,
alligator,alligator,14,3.785714286,0.030,0.007,,,,,,,,,,,,,,,,,,,,,
boa,boa,1,4,0.004,0.000,,,,,,,,,,,,,,,,,,,,,
cobra,cobra,1,3,0.007,0.000,,,,,,,,,,,,,,,,,,,,,
dinosaurus,dinosaur,14,2.642857143,0.015,0.015,,,,,,,,,,,,,,,,,,,,,
gekko,gecko,5,3.4,0.021,0.004,,,,,,,,,,,,,,,,,,,,,
hagedis,lizard,80,2.175,0.059,0.116,,,,,,,,,,,,,,,,,,,,,
hazelworm,blindworm,1,4,0.004,0.000,,,,,,,,,,,,,,,,,,,,,
kaaiman,caiman,2,3,0.022,0.000,,,,,,,,,,,,,,,,,,,,,
kameleon,chameleon,22,3.181818182,0.059,0.011,,,,,,,,,,,,,,,,,,,,,
kikker,frog,7,2,0.004,0.026,,,,,,,,,,,,,,,,,,,,,
krokodil,crocodile,79,2.113924051,0.019,0.090,,,,,,,,,,,,,,,,,,,,,
leguaan,iguana,17,3.058823529,0.111,0.000,,,,,,,,,,,,,,,,,,,,,
pad,toad,4,3,0.000,0.000,,,,,,,,,,,,,,,,,,,,,
python,python,1,5,0.007,0.000,,,,,,,,,,,,,,,,,,,,,
salamander,salamander,29,2.275862069,0.049,0.041,,,,,,,,,,,,,,,,,,,,,
schildpad,tortoise,23,3.043478261,0.007,0.004,,,,,,,,,,,,,,,,,,,,,
slang,snake,92,1.891304348,0.026,0.127,,,,,,,,,,,,,,,,,,,,,
varaan,monitor lizard,7,4.142857143,0.063,0.011,,,,,,,,,,,,,,,,,,,,,
waterschildpad,turtle,1,4,0.000,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
