,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9755"
aambeeld,anvil,2,3,1,2,2,2,2,1,1,2,2,2,2,3,2,1,3,2,1,2,1,4,3,3,3,2,2,4,2.142857143,0.84827868,28,,
beitel,chisel,2,2,1,2,3,3,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,4,3,4,3,3,2,4,2.5,0.745355992,28,,
bijl,axe,3,2,1,2,2,3,3,3,2,2,2,4,3,3,4,3,3,2,3,4,2,4,3,5,3,2,3,4,2.857142857,0.890870806,28,,
boormachine,drill,3,5,3,4,3,3,3,2,2,2,3,4,3,3,2,3,3,2,2,2,1,4,3,4,3,4,4,4,3,0.902670934,28,,
breekijzer,crowbar,2,2,1,3,3,3,2,1,2,2,2,2,2,2,2,1,3,1,2,2,2,4,3,3,3,2,2,4,2.25,0.799305254,28,,
engelse sleutel,adjustable spanner,2,2,1,2,2,3,2,1,2,2,3,2,1,2,2,2,2,2,2,1,3,4,2,3,3,2,3,4,2.214285714,0.786795792,28,,
grasmachine,lawn mower,3,4,3,4,4,3,4,2,5,3,3,5,3,3,3,4,3,3,4,3,2,4,3,4,3,5,4,4,3.5,0.793492048,28,,
hamer,hammer,3,4,3,4,3,3,3,3,3,3,4,5,3,4,3,3,3,2,4,2,3,4,3,5,4,4,3,4,3.392857143,0.737326789,28,,
houtklem,clamp,1,4,1,1,1,2,1,1,2,2,2,3,2,2,1,1,2,2,1,1,1,4,3,3,3,1,2,4,1.928571429,1.015749,28,,
houweel,pickaxe,1,2,1,1,2,2,2,1,1,2,2,2,2,3,2,1,2,2,2,3,1,4,3,4,3,1,2,4,2.071428571,0.939998874,28,,
koevoet,crowbar,3,3,1,3,2,2,3,1,2,2,2,3,3,3,2,1,2,2,2,2,1,4,3,4,3,2,2,4,2.392857143,0.875141712,28,,
kruiwagen,wheelbarrow,3,3,2,3,2,3,3,2,4,3,3,5,3,3,3,3,3,2,4,4,3,4,3,4,3,4,3,4,3.178571429,0.722832465,28,,
mes,knife,5,5,4,5,5,5,4,4,5,4,5,5,5,5,5,5,4,5,5,4,3,4,5,5,5,5,5,5,4.678571429,0.547964005,28,,
moersleutel,wrench,3,5,1,3,2,3,2,2,2,2,2,2,3,3,2,1,2,2,2,1,2,4,3,3,3,3,3,4,2.5,0.922958207,28,,
oliespuit,oilcan,2,3,1,1,1,2,2,1,2,2,2,2,2,3,1,1,2,1,2,2,1,4,3,4,3,1,2,4,2.035714286,0.961562881,28,,
plamuurmes,filling-knife,2,2,4,2,2,2,1,1,2,3,2,1,2,2,2,1,2,1,2,1,1,4,3,3,3,2,3,4,2.142857143,0.931517508,28,,
ploeg,plough,3,2,1,2,2,3,2,1,2,2,4,5,5,4,4,1,2,1,2,2,3,4,3,4,3,2,2,4,2.678571429,1.188013325,28,,
schaaf,plane,2,2,1,2,1,3,2,1,2,2,2,1,2,3,2,1,2,2,1,2,1,4,3,3,3,2,2,4,2.071428571,0.857583661,28,,
schop,shovel,3,4,2,3,3,3,3,2,4,3,3,5,3,3,3,3,3,3,3,4,3,4,3,4,3,4,4,4,3.285714286,0.658682347,28,,
schroevendraaier,screwdriver,3,5,4,4,3,3,3,3,2,3,4,4,5,3,2,3,3,3,4,3,2,4,3,4,4,5,4,4,3.464285714,0.83808171,28,,
slijpschijf,grinding disc,2,2,3,3,1,2,1,1,2,2,4,2,2,2,2,2,2,2,3,3,1,4,3,4,3,5,3,4,2.5,1.03637545,28,,
spijker,nail,4,5,3,4,3,3,4,3,3,3,3,5,3,4,3,3,3,3,4,3,3,4,3,4,4,2,4,4,3.464285714,0.692934867,28,,
staalborstel,wire brush,1,2,1,3,1,3,1,1,1,2,3,2,2,2,1,1,2,1,2,1,1,4,3,4,3,3,3,4,2.071428571,1.051579814,28,,
stofzuiger,vacuum cleaner,4,4,4,5,4,4,4,4,4,3,4,5,5,4,4,5,4,4,5,4,3,4,4,5,4,5,4,4,4.178571429,0.547964005,28,,
tang,tongs,2,3,2,4,3,3,2,3,3,3,4,5,3,3,2,3,3,3,4,4,3,4,3,4,4,4,3,4,3.25,0.751541625,28,,
touw,rope,4,5,4,4,3,3,3,2,2,3,4,5,5,4,4,5,3,4,4,4,3,4,3,5,5,4,4,4,3.821428571,0.862965234,28,,
verfborstel,paint brush,3,5,4,3,3,3,3,3,3,3,3,5,3,3,3,4,3,3,4,4,3,4,3,4,3,4,3,4,3.428571429,0.634126487,28,,
vijl,file,3,2,1,3,3,3,2,2,2,3,4,4,3,3,3,4,3,2,3,2,2,4,3,4,3,2,3,4,2.857142857,0.803431793,28,,
waterpas,level,3,4,3,4,3,2,2,2,2,2,3,3,2,3,2,3,2,2,3,2,2,4,3,3,3,4,4,4,2.821428571,0.772373515,28,,
zaag,saw,3,4,3,4,3,3,3,3,2,3,4,4,3,3,3,3,3,3,4,3,2,4,3,4,4,5,4,4,3.357142857,0.678466993,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
