,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9423"
arend,eagle,3,2,2,2,2,3,3,2,2,3,3,2,4,2,3,3,2,3,4,3,3,2,1,2,3,3,2,3,2.571428571,0.690065559,28,,
duif,dove,3,4,4,3,2,3,4,5,5,4,4,4,4,4,4,4,3,5,5,5,4,3,3,5,5,4,4,4,3.964285714,0.792658109,28,,
eend,duck,3,3,4,3,2,4,4,5,4,4,4,5,5,4,4,4,4,3,4,5,4,3,3,3,4,4,4,3,3.785714286,0.738223235,28,,
ekster,magpie,2,2,3,2,2,3,3,4,2,3,4,4,4,3,3,3,3,3,4,3,4,3,2,2,3,3,2,4,2.964285714,0.744468135,28,,
fazant,pheasant,3,3,3,2,1,2,3,2,4,3,4,2,4,3,3,3,3,4,4,3,3,3,1,2,3,3,2,3,2.821428571,0.818923025,28,,
gier,vulture,2,2,2,2,1,2,2,2,2,2,3,2,4,2,3,3,2,3,4,2,3,2,1,2,3,2,2,2,2.285714286,0.712696645,28,,
haan,rooster,4,4,2,2,2,3,3,4,3,3,4,4,4,3,5,3,4,3,4,5,4,3,1,4,4,4,3,4,3.428571429,0.920087412,28,,
kalkoen,turkey,3,3,3,3,2,3,4,5,4,3,3,3,4,3,4,3,3,4,5,5,4,3,1,2,3,3,3,2,3.25,0.927960727,28,,
kanarie,canary,3,3,4,2,2,3,3,3,4,4,3,3,4,3,3,3,3,4,5,5,4,3,1,3,4,3,4,2,3.25,0.887151079,28,,
kip,chicken,4,4,4,4,4,4,5,5,4,4,4,5,5,4,5,4,4,4,5,5,4,3,2,4,5,4,5,5,4.25,0.700528901,28,,
koekoek,cuckoo,2,2,2,2,1,2,2,2,4,3,4,2,4,2,3,3,2,3,4,3,3,2,2,2,3,3,3,4,2.642857143,0.826159599,28,,
kraai,crow,2,2,3,2,2,4,3,4,3,3,3,4,4,3,3,3,3,3,4,4,3,2,2,3,3,3,2,5,3.035714286,0.792658109,28,,
mees,chickadee,2,2,4,2,2,3,2,2,2,2,4,2,4,3,4,3,3,3,4,4,3,2,1,3,3,3,2,5,2.821428571,0.944911183,28,,
meeuw,seagull,2,3,3,2,2,3,3,4,4,3,3,2,5,4,4,3,3,3,4,4,4,3,1,2,3,3,4,2,3.071428571,0.899735411,28,,
merel,blackbird,2,3,4,2,2,3,3,5,2,3,4,4,5,3,3,3,3,3,5,3,4,3,3,4,4,3,2,4,3.285714286,0.896790279,28,,
mus,sparrow,3,3,4,2,2,4,4,5,2,3,4,4,5,4,4,4,3,3,4,5,4,3,2,3,4,3,3,4,3.5,0.881917104,28,,
ooievaar,stork,3,2,3,2,2,3,3,5,4,3,3,3,4,2,3,3,2,3,4,4,3,3,1,2,3,3,3,4,2.964285714,0.83808171,28,,
papegaai,parrot,3,3,4,2,3,3,4,4,4,3,4,2,4,2,3,3,3,3,4,5,4,3,1,2,3,3,3,2,3.107142857,0.875141712,28,,
parkiet,parakeet,3,2,3,2,2,2,4,3,5,3,4,3,4,3,3,3,3,4,4,4,3,2,1,3,3,3,4,2,3.035714286,0.881166855,28,,
pauw,peacock,3,3,2,2,1,2,4,3,2,3,4,4,4,2,3,3,2,3,4,4,3,3,1,2,3,3,2,3,2.785714286,0.875897121,28,,
pelikaan,pelican,2,2,2,2,1,2,2,2,2,2,3,3,4,2,3,3,2,3,4,3,3,2,1,2,3,3,2,2,2.392857143,0.737326789,28,,
pinguïn,penguin,3,3,3,2,2,2,3,3,4,3,3,2,4,2,3,3,1,3,4,4,3,3,1,2,3,3,3,3,2.785714286,0.786795792,28,,
reiger,heron,2,2,3,2,1,4,2,3,5,3,3,2,4,3,3,3,2,4,4,3,3,2,1,3,4,3,2,3,2.821428571,0.944911183,28,,
roodborstje,robin,2,2,3,2,3,3,2,5,2,3,4,4,4,3,4,3,2,3,4,5,4,3,1,3,3,3,4,4,3.142857143,0.970463261,28,,
specht,woodpecker,3,3,3,2,1,3,2,2,3,3,4,3,4,2,3,3,3,3,3,4,3,2,2,2,3,3,2,4,2.785714286,0.738223235,28,,
struisvogel,ostrich,3,2,4,2,2,3,3,3,3,3,3,2,4,2,3,3,2,3,4,4,3,2,1,2,3,3,2,2,2.714285714,0.76289618,28,,
uil,owl,3,2,3,2,2,3,3,3,5,3,4,4,4,2,3,3,2,3,4,4,3,3,1,2,3,3,3,4,3,0.860662966,28,,
valk,falcon,2,2,2,2,1,2,2,2,2,3,3,4,4,2,3,3,2,3,4,3,3,2,2,2,3,3,2,3,2.535714286,0.744468135,28,,
zwaan,swan,2,3,3,3,2,3,3,5,4,3,3,3,4,3,3,3,3,3,4,4,3,3,1,2,3,3,3,3,3.035714286,0.744468135,28,,
zwaluw,swallow,3,2,3,2,3,2,3,4,4,3,4,4,5,2,3,3,2,3,4,3,3,3,1,3,3,3,2,4,3,0.860662966,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
