,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9634"
beha,bra,5,5,5,5,4,3,5,5,4,4,4,4,3,5,5,5,4,4,5,4,5,5,5,5,3,5,4,4,4.428571429,0.690065559,28,,
bloes,blouse,3,5,5,4,4,3,5,5,3,5,3,4,3,5,5,4,4,4,4,3,3,5,5,5,3,2,3,3,3.928571429,0.939998874,28,,
broek,pants,5,5,5,5,5,4,5,5,5,5,3,4,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4.785714286,0.498675494,28,,
das,tie,3,3,5,3,3,2,3,3,3,3,3,3,3,2,3,4,2,4,3,3,2,3,4,3,2,3,2,2,2.928571429,0.71639899,28,,
hemd,shirt,4,5,5,4,5,3,4,5,5,3,3,4,5,4,5,4,3,4,4,5,5,4,4,5,4,4,4,3,4.178571429,0.722832465,28,,
hoed,hat,2,3,4,2,3,2,3,4,3,2,3,4,4,2,3,5,2,3,3,3,2,3,4,3,3,2,2,2,2.892857143,0.831744517,28,,
jas,coat,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,4.785714286,0.498675494,28,,
jeans,jeans,4,5,5,3,4,4,5,5,3,4,4,5,5,5,5,4,5,4,5,5,3,5,5,5,5,4,5,4,4.464285714,0.692934867,28,,
jogging,tracksuit,3,5,5,4,4,2,5,3,3,2,3,4,4,3,3,5,3,2,4,3,4,4,3,5,5,3,5,2,3.607142857,1.030615987,28,,
kleed,dress,3,5,5,4,3,3,5,3,3,3,4,3,5,4,4,5,2,3,3,4,3,3,5,5,4,2,3,2,3.607142857,0.994029797,28,,
kostuum,suit,4,5,4,4,3,2,4,4,3,3,3,3,4,4,3,4,2,3,4,4,3,3,4,4,3,3,3,3,3.428571429,0.690065559,28,,
laarzen,boots,2,5,5,4,3,3,5,4,3,3,3,4,4,5,4,4,3,2,5,3,2,3,4,4,3,3,2,2,3.464285714,0.999338405,28,,
muts,beanie,3,3,5,2,3,3,4,3,3,3,3,4,4,3,4,4,3,3,4,4,4,3,4,5,4,3,3,3,3.464285714,0.692934867,28,,
pet,cap,2,3,4,2,4,2,4,3,3,2,3,3,3,3,4,5,2,2,4,3,4,3,3,5,4,2,4,2,3.142857143,0.931517508,28,,
pyjama,pyjamas,3,5,5,5,5,4,5,5,3,5,3,5,5,4,3,5,5,4,5,5,5,5,5,5,5,5,5,2,4.5,0.881917104,28,,
riem,belt,4,5,5,3,4,3,5,5,4,3,3,4,4,4,5,4,3,3,4,4,4,5,4,5,5,3,5,4,4.071428571,0.766356045,28,,
rok,skirt,3,5,5,4,3,3,5,3,3,5,3,4,5,5,5,4,3,4,4,4,5,4,5,5,3,4,3,4,4.035714286,0.83808171,28,,
salopet,dungarees,2,3,4,3,2,2,3,2,3,1,2,3,3,2,2,3,1,2,4,1,2,3,4,3,2,2,3,2,2.464285714,0.83808171,28,,
schoenen,shoes,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4.821428571,0.390021028,28,,
short,shorts,4,4,5,3,4,2,5,4,3,4,3,4,3,3,4,5,3,4,2,3,4,3,4,5,4,5,4,3,3.714285714,0.854493259,28,,
sjaal,scarf,3,4,5,4,3,2,5,5,4,3,3,4,5,3,4,5,2,4,4,5,4,5,4,5,3,5,4,4,3.964285714,0.922241346,28,,
slip,panties,4,5,5,5,4,3,5,5,3,2,3,5,3,5,5,5,3,3,2,2,3,5,4,4,4,2,3,2,3.714285714,1.150109266,28,,
sokken,socks,3,5,5,5,5,3,5,5,5,2,3,4,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,4,4.5,0.881917104,28,,
sweater,sweater,3,5,5,4,4,3,3,3,3,2,3,3,2,4,5,5,4,4,2,2,3,5,5,3,4,2,4,2,3.464285714,1.07089934,28,,
t-shirt,t-shirt,2,5,5,5,2,2,5,4,3,3,4,3,3,4,4,4,4,4,2,3,5,4,4,5,2,4,3,3,3.607142857,1.030615987,28,,
topje,top,4,5,5,4,5,3,5,5,3,4,3,4,4,4,5,5,5,4,5,5,5,5,5,5,4,5,4,4,4.428571429,0.690065559,28,,
trui,pullover,4,5,5,4,5,3,5,5,4,4,3,3,5,5,5,5,5,4,5,4,5,5,5,5,4,5,5,4,4.5,0.693888666,28,,
wanten,mittens,3,2,4,2,3,4,3,3,3,2,3,4,2,3,2,3,2,2,2,1,2,5,4,3,3,3,2,2,2.75,0.887151079,28,,
zwempak,bathing suit,3,4,4,4,3,2,3,3,3,4,3,4,3,3,3,5,3,2,3,4,1,3,3,4,3,4,4,2,3.214285714,0.832539304,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
