,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9572"
acteur,actor,4,4,2,5,4,4,4,3,3,4,4,4,4,3,4,4,3,5,5,3,5,4,4,3,4,4,4,5,3.892857143,0.737326789,28,,
advocaat,lawyer,4,4,1,5,2,2,3,3,3,3,3,3,3,3,3,4,3,4,4,3,5,4,4,3,2,4,4,5,3.357142857,0.951189731,28,,
apotheker,pharmacist,4,3,3,5,3,2,3,3,3,4,3,3,3,4,4,4,3,3,4,3,5,5,4,3,3,4,4,3,3.5,0.745355992,28,,
archeoloog,archaeologist,2,3,1,4,2,1,2,2,2,2,3,3,2,3,2,2,2,2,3,3,4,2,4,2,3,2,3,3,2.464285714,0.792658109,28,,
architect,architect,3,3,1,5,3,5,4,3,2,5,3,3,3,3,4,3,3,3,4,3,4,2,3,3,2,3,3,3,3.178571429,0.904866326,28,,
bakker,baker,4,4,4,5,4,5,4,3,4,5,4,3,5,5,5,4,4,4,5,4,5,5,4,4,4,4,5,4,4.285714286,0.599823607,28,,
boekhouder,accountant,3,3,1,5,3,1,3,3,2,3,3,4,2,3,2,3,2,3,4,3,4,3,3,2,2,3,3,3,2.821428571,0.862965234,28,,
brandweerman,fireman,4,3,1,5,3,3,3,3,3,3,4,3,2,4,3,3,2,3,4,3,5,3,3,3,2,4,4,3,3.178571429,0.862965234,28,,
dierenarts,veterinarian,3,3,1,5,4,2,3,3,3,2,4,4,2,4,4,3,3,3,4,5,4,2,4,2,2,3,3,3,3.142857143,0.970463261,28,,
directeur,manager,3,3,1,5,3,3,3,3,3,4,3,3,4,4,2,3,2,3,4,3,5,4,4,2,3,4,3,4,3.25,0.887151079,28,,
dokter,doctor,4,4,3,5,3,3,4,4,3,5,3,4,3,4,4,4,3,3,4,3,5,5,4,4,4,4,4,5,3.857142857,0.705233647,28,,
informaticus,information scientist,4,4,1,5,3,4,3,3,2,3,4,3,3,4,3,4,2,3,4,2,4,3,4,3,2,3,3,4,3.214285714,0.875897121,28,,
kinesist,physiotherapist,3,5,3,5,4,4,4,2,2,3,3,3,2,4,3,3,2,3,4,4,4,3,3,2,3,3,4,4,3.285714286,0.854493259,28,,
kok,cook,3,3,3,5,4,4,4,3,2,3,3,3,3,4,2,3,3,4,5,3,5,4,3,3,3,4,5,3,3.464285714,0.83808171,28,,
leraar,teacher,4,4,4,5,4,2,4,4,4,4,4,4,4,5,4,3,4,5,4,3,5,5,4,4,3,4,4,5,4.035714286,0.692934867,28,,
loodgieter,plumber,3,3,1,5,3,2,3,2,3,2,3,3,2,3,2,3,2,3,4,2,5,3,3,2,2,3,3,3,2.785714286,0.875897121,28,,
marktkramer,stallholder,2,3,1,5,2,1,2,2,2,2,3,3,2,3,2,3,1,2,3,2,4,4,3,2,2,3,2,3,2.464285714,0.922241346,28,,
minister,minister,4,3,3,5,4,4,4,3,3,3,4,4,3,4,3,3,3,3,4,2,5,5,4,3,3,3,3,5,3.571428571,0.790151014,28,,
opvoedster,educator,3,4,1,4,4,3,3,2,3,2,3,3,4,3,2,3,2,4,4,2,2,2,3,2,2,3,3,3,2.821428571,0.818923025,28,,
piloot,pilot,3,3,1,5,2,3,3,4,2,3,3,3,3,3,2,3,2,2,4,3,3,3,3,3,2,3,4,3,2.892857143,0.785954749,28,,
politieagent,police officer,4,5,4,5,3,4,3,3,2,4,4,3,3,4,4,4,3,4,4,3,5,4,4,3,3,4,4,4,3.714285714,0.712696645,28,,
postbode,postman,4,3,3,5,4,3,3,3,4,3,4,3,4,4,4,3,4,4,4,3,5,4,4,3,4,4,4,4,3.714285714,0.599823607,28,,
psycholoog,psychologist,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4.857142857,0.356348323,28,,
rechter,judge,4,3,1,5,2,3,3,3,3,3,3,3,3,2,2,3,3,3,4,3,5,2,3,3,2,3,3,3,2.964285714,0.83808171,28,,
secretaresse,secretary,3,4,2,5,3,3,3,3,3,3,4,3,4,3,2,3,3,4,4,4,5,3,4,3,4,3,4,5,3.464285714,0.792658109,28,,
slager,butcher,4,4,1,5,4,3,4,3,4,4,4,3,4,3,2,4,2,4,5,3,5,4,4,3,5,4,3,4,3.642857143,0.951189731,28,,
stewardess,stewardess,3,3,1,5,2,3,3,3,2,3,3,4,3,3,2,2,3,2,4,2,3,2,3,3,2,3,3,2,2.75,0.799305254,28,,
tandarts,dentist,3,4,3,5,3,4,4,4,3,3,3,4,4,4,3,3,3,4,4,3,5,3,4,3,2,4,3,3,3.5,0.693888666,28,,
vuilnisman,garbage collector,3,4,3,5,3,1,3,2,3,3,3,3,4,3,3,3,4,4,4,3,5,4,4,3,2,3,4,3,3.285714286,0.854493259,28,,
winkelbediende,shop-assistant,3,4,1,5,3,1,3,2,3,2,3,3,4,4,3,3,3,4,3,3,5,4,3,3,3,3,3,4,3.142857143,0.931517508,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
