,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,95"
ansjovis,anchovy,2,2,4,3,3,3,2,4,3,3,2,3,2,2,3,3,3,4,2,3,3,2,5,1,3,2,2,3,2.75,0.844371342,28,,
dolfijn,dolphin,3,2,4,3,4,3,3,4,2,5,3,3,4,3,3,4,3,2,3,3,3,3,4,3,3,2,4,4,3.214285714,0.738223235,28,,
forel,trout,3,2,4,3,3,3,3,4,3,2,3,3,2,3,3,3,4,2,3,3,3,2,4,2,2,3,3,3,2.892857143,0.628890011,28,,
goudvis,goldfish,3,3,4,3,4,4,4,4,3,4,3,3,3,3,4,4,3,3,3,3,2,3,5,3,3,2,4,4,3.357142857,0.678466993,28,,
haai,shark,3,3,4,3,3,3,3,4,2,3,3,3,4,2,3,3,3,2,2,3,3,4,4,3,3,2,3,4,3.035714286,0.63724772,28,,
haring,herring,3,1,4,3,3,3,2,3,3,2,3,3,4,2,3,3,3,3,2,3,3,2,5,2,2,2,4,3,2.821428571,0.818923025,28,,
inktvis,squid,2,3,4,3,3,3,3,3,3,4,3,3,3,3,3,2,3,4,2,3,2,2,4,2,3,3,3,4,2.964285714,0.63724772,28,,
kabeljauw,cod,4,2,4,3,5,3,4,4,3,3,3,3,3,3,3,3,3,4,3,4,2,2,5,3,4,4,3,4,3.357142857,0.780042056,28,,
karper,carp,2,1,3,2,2,3,2,3,2,2,2,3,2,1,3,3,2,2,2,3,2,2,4,2,2,2,2,3,2.285714286,0.658682347,28,,
orka,orca,3,1,4,3,3,3,2,4,2,2,2,3,3,2,3,2,2,2,2,3,2,3,4,2,2,2,3,3,2.571428571,0.741798187,28,,
paling,eel,2,1,4,3,3,3,2,4,2,2,2,3,3,2,3,3,2,2,2,3,2,2,4,2,2,3,2,3,2.535714286,0.744468135,28,,
piranha,piranha,2,1,3,3,2,3,3,4,1,3,2,3,2,2,3,3,2,2,2,3,2,3,5,2,3,2,2,3,2.535714286,0.83808171,28,,
pladijs,plaice,3,2,3,2,4,3,2,3,1,2,2,3,2,2,2,2,2,2,2,3,2,2,3,1,2,2,3,3,2.321428571,0.669636243,28,,
platvis,flatfish,2,1,2,2,2,3,2,2,2,3,2,3,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,3,2,0.544331054,28,,
potvis,sperm whale,2,1,2,2,2,3,2,3,1,2,2,3,2,1,3,2,2,2,2,3,2,2,3,2,2,2,3,3,2.178571429,0.611832186,28,,
rog,ray,2,1,4,2,3,2,2,3,3,2,2,3,2,2,3,2,2,3,2,3,2,2,4,2,2,2,2,3,2.392857143,0.685256682,28,,
sardine,sardine,2,1,4,3,3,3,3,3,3,4,3,3,3,2,3,3,2,3,2,3,4,2,5,1,3,3,3,3,2.857142857,0.84827868,28,,
snoek,pike,2,1,4,2,2,3,3,3,2,1,2,3,2,1,3,2,2,2,2,2,2,2,4,2,2,2,2,3,2.25,0.751541625,28,,
stekelbaars,stickleback,2,1,3,3,3,3,2,3,2,4,2,3,2,1,2,2,2,3,3,2,2,2,4,2,2,2,2,3,2.392857143,0.737326789,28,,
tong,sole,2,1,4,3,4,3,3,5,2,4,2,3,2,2,3,3,3,3,3,4,5,4,5,2,5,2,2,3,3.107142857,1.100144291,28,,
walvis,whale,3,3,4,3,3,3,3,4,2,4,3,3,3,3,3,3,2,2,2,5,3,3,5,3,3,2,3,4,3.107142857,0.785954749,28,,
zalm,salmon,3,4,4,3,3,3,4,4,3,5,4,3,4,3,3,3,4,4,3,4,3,2,5,3,4,3,5,4,3.571428571,0.741798187,28,,
zwaardvis,swordfish,2,1,2,2,3,3,2,3,2,2,2,3,2,1,3,2,2,3,2,3,2,2,4,1,2,2,2,3,2.25,0.700528901,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,



















,,,,,
