,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9757"
auto,car,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4.821428571,0.390021028,28,,
boot,boat,3,3,3,3,3,4,4,5,3,4,2,3,4,3,4,3,3,3,3,3,5,3,3,4,3,4,1,2,3.25,0.844371342,28,,
bromfiets,scooter,4,3,3,3,3,4,3,3,3,2,1,3,4,3,2,2,3,3,3,3,5,4,4,4,4,4,4,3,3.214285714,0.832539304,28,,
brommer,motorbike,4,4,3,3,3,4,3,4,3,3,1,3,4,3,5,4,5,3,4,4,5,4,3,4,4,4,3,4,3.607142857,0.831744517,28,,
bus,bus,4,5,5,4,4,5,5,5,4,5,4,3,4,4,5,5,5,5,5,5,5,5,4,5,4,4,4,5,4.535714286,0.576203594,28,,
camion,truck,4,4,2,3,3,4,3,4,4,5,2,3,4,5,4,4,4,4,4,4,5,5,3,3,3,3,3,3,3.642857143,0.826159599,28,,
camionette,van,5,4,3,3,2,4,3,4,2,5,1,4,3,3,2,3,3,4,3,4,5,4,4,3,3,4,3,3,3.357142857,0.951189731,28,,
caravan,trailer ,3,3,3,3,3,4,3,3,4,4,1,3,3,2,3,3,3,3,3,3,5,4,3,2,4,3,1,5,3.107142857,0.916486274,28,,
duikboot,submarine,3,2,3,2,2,4,2,3,1,3,1,3,3,2,3,2,2,3,3,3,4,2,3,3,3,3,1,2,2.535714286,0.792658109,28,,
fiets,bicycle,4,5,4,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4.75,0.440958552,28,,
gocart,go-cart,4,2,3,2,2,4,2,3,2,3,2,3,2,4,3,3,4,3,3,3,5,5,3,2,3,2,1,3,2.892857143,0.956044541,28,,
helikopter,helicopter,3,2,3,3,2,5,2,4,3,3,2,3,3,4,4,3,2,4,4,3,5,3,3,3,3,3,1,2,3.035714286,0.922241346,28,,
hovercraft,hovercraft,3,2,3,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,4,2,3,2,2,3,1,3,2.071428571,0.71639899,28,,
jeep,jeep,4,2,3,3,3,4,4,4,2,4,1,4,4,2,3,3,3,3,3,4,5,4,3,2,2,3,1,5,3.142857143,1.044005311,28,,
kar,cart,3,3,3,2,2,4,3,2,1,3,1,3,3,2,3,2,2,3,4,3,5,5,3,2,4,3,1,2,2.75,1.040833,28,,
koets,carriage,3,1,3,2,3,3,2,2,2,4,1,3,3,2,2,2,2,3,2,2,4,3,3,2,3,3,1,1,2.392857143,0.831744517,28,,
luchtballon,(hot air) balloon,3,3,3,3,2,4,3,3,2,3,1,4,3,3,3,3,3,3,3,3,5,2,3,3,3,3,1,2,2.857142857,0.803431793,28,,
metrostel,subway train,3,1,3,2,2,3,2,2,2,1,1,3,2,2,1,2,2,3,2,2,4,2,3,2,2,3,2,1,2.142857143,0.755928946,28,,
moto,motorbike,4,4,3,2,3,4,4,3,2,4,1,3,3,3,4,3,2,3,3,3,5,4,3,4,4,3,4,5,3.321428571,0.904866326,28,,
raket,rocket,3,2,3,2,3,4,2,3,2,3,1,3,3,2,2,2,2,3,2,3,5,3,3,2,4,3,1,3,2.642857143,0.869835477,28,,
skateboard,skateboard,3,2,3,2,3,5,2,4,2,3,1,3,3,2,2,3,3,3,3,3,5,3,3,2,3,4,2,4,2.892857143,0.916486274,28,,
slede,sled,3,2,3,3,2,4,2,3,2,3,1,4,2,2,3,2,2,3,3,3,4,4,3,2,3,3,1,2,2.642857143,0.826159599,28,,
step,kick scooter,4,3,3,2,2,4,2,3,2,4,1,3,2,3,4,3,4,3,3,3,3,4,3,3,3,3,1,2,2.857142857,0.84827868,28,,
taxi,taxi,3,2,3,3,2,4,2,3,3,3,1,3,4,4,3,2,2,4,3,4,4,3,3,4,4,4,1,5,3.071428571,0.978607152,28,,
tractor,tractor,3,2,3,4,2,5,2,3,2,4,1,3,3,2,4,3,2,4,4,3,5,5,3,3,3,4,1,3,3.071428571,1.08622934,28,,
tram,tram,3,3,3,3,2,5,3,3,2,4,1,3,3,3,3,3,5,3,2,3,5,4,3,3,3,4,3,4,3.178571429,0.904866326,28,,
trein,train,5,4,4,5,3,5,4,5,5,5,3,3,4,5,5,4,5,5,3,5,5,5,4,4,4,5,3,4,4.321428571,0.772373515,28,,
vliegtuig,airplane,3,3,3,3,3,5,3,5,3,4,1,3,4,4,4,3,4,4,3,4,5,3,3,3,3,4,2,3,3.392857143,0.875141712,28,,
vrachtwagen,truck,4,3,3,3,3,4,4,4,4,3,2,3,4,5,3,2,3,4,4,4,5,5,3,4,3,4,2,4,3.535714286,0.83808171,28,,
zeppelin,Zeppelin,3,2,3,1,2,2,2,2,1,2,1,3,2,2,1,2,2,2,2,2,3,2,3,2,2,2,1,1,1.964285714,0.63724772,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,
