,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of 'don't know'-responses,number of participants who know the item,average,standard deviation
aalbes,red currant,1,1,2,2,3,3,3,4,4,4,4,5,5,5,6,6,6,7,X,X,4,7,7,5,2,X,2,4,2,1,2,5,5,2,1,,3,32,3.75,1.88
aardbei,strawberry,4,4,4,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,7,5,7,6,6,6,6,6,7,7,5,,,,,0,32,6.09,0.96
abrikoos,apricot,2,2,3,3,4,4,5,5,5,6,6,7,7,7,6,6,7,5,7,7,6,1,6,7,7,7,6,4,,,,,,,,,0,28,5.29,1.78
ananas,pineapple,4,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,6,5,7,7,7,7,6,7,7,1,3,7,,,0,34,6.06,1.30
appel,apple,4,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,6,7,7,7,7,7,7,7,7,7,7,,,0,34,6.74,0.62
banaan,banana,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,3,7,7,6,,,,,,,0,30,6.63,0.85
bosbes,blueberry,2,2,3,3,4,4,4,4,5,5,5,6,6,6,6,6,6,6,7,7,7,7,5,2,7,6,7,6,7,3,6,3,5,3,3,,0,35,4.97,1.65
braambessen,blackberry,2,2,3,3,4,5,5,5,6,6,6,7,7,7,7,6,7,6,4,6,3,7,7,7,6,2,6,5,7,7,2,,,,,,0,31,5.26,1.79
citroen,lemon,4,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,0,27,6.67,0.68
clementine,mandarine,3,4,4,6,6,6,7,7,7,7,7,7,7,7,7,X,7,7,5,7,6,7,6,7,1,7,6,7,7,1,7,7,,,,,1,31,6.03,1.70
dadels,dates,1,1,3,3,3,3,4,4,5,5,5,5,6,6,7,7,7,X,X,X,3,5,4,5,4,4,2,4,7,7,1,6,7,7,,,3,31,4.55,1.89
druif,grape,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,6,7,7,7,7,4,4,,,,,0,32,6.50,0.88
framboos,raspberry,2,2,3,3,5,5,5,6,6,6,7,7,7,7,7,4,3,5,7,6,7,3,5,4,6,7,5,5,6,7,,,,,,,0,30,5.27,1.62
kers,cherry,4,4,4,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,6,7,7,7,7,7,7,7,6,7,5,5,,,,0,33,6.39,1.00
kiwi,kiwi,3,4,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,,0,35,6.54,0.92
kokosnoot,coconut,2,5,5,6,7,7,7,7,7,7,7,7,7,7,6,6,6,7,5,7,6,5,7,7,5,5,6,6,7,,,,,,,,0,29,6.17,1.14
limoen,lime,1,1,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,4,7,5,7,7,4,7,6,7,7,7,0,36,5.47,1.68
lychee,lychee,1,1,2,4,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,5,X,X,7,7,6,6,7,X,6,7,6,6,,,,3,30,5.73,1.72
mango,mango,3,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,4,7,7,3,6,7,7,6,,,,,,,0,30,6.03,1.19
meloen,melon,2,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,7,7,6,7,6,4,3,,,0,34,6.09,1.24
nectarine,nectarine,3,3,3,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,3,6,6,6,7,6,1,7,7,7,5,,,,0,33,5.79,1.58
papaya,papaya,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,5,6,6,6,7,7,7,6,5,5,2,6,7,2,4,2,4,5,1,,,0,34,3.97,1.91
passievrucht,passion fruit,1,2,2,3,3,3,4,4,5,5,6,6,6,6,7,7,7,7,7,7,6,7,7,4,5,6,7,7,5,3,7,,,,,,0,31,5.23,1.84
peer,pear,3,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,3,7,7,7,4,7,7,5,,,,,,0,31,6.32,1.17
perzik,peach,3,4,4,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,6,6,7,5,,,,,,,,0,29,6.00,1.36
pompelmoes,grapefruit,3,4,5,5,6,6,6,6,6,7,7,6,2,6,3,5,7,5,6,7,7,7,5,6,6,6,7,4,7,4,7,7,5,5,,,0,34,5.62,1.33
pompoen,pumpkin,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,5,7,6,7,7,7,7,7,7,7,7,,,,,,,,,0,28,6.64,0.62
pruim,plum,3,3,3,3,3,4,5,6,6,6,6,7,7,7,7,7,7,7,7,5,7,6,6,4,6,6,2,5,7,5,2,,,,,,0,31,5.32,1.68
sinaasappel,orange,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,,,,,,0,31,6.77,0.50
vijg,fig,2,2,3,3,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,3,7,7,6,5,5,2,5,,,,,,,,,,0,27,5.33,1.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
