,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of 'don't know'-responses,number of participants who know the item,average,standard deviation
arend,eagle,1,2,2,3,3,5,5,5,6,6,6,6,6,7,7,7,7,7,6,6,5,6,7,6,6,7,6,7,2,7,5,4,3,,,,,,0,33,5.27,1.77
duif,dove,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,4,7,7,7,2,5,7,7,6,6,,,,,0,34,6.32,1.07
eend,duck,2,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,5,,,,,,,,0,31,6.48,1.12
ekster,magpie,2,3,3,4,4,4,5,5,5,6,6,6,6,7,7,7,7,7,7,3,6,7,7,6,2,4,4,2,4,5,4,,,,,,,,0,31,5.00,1.67
fazant,pheasant,2,2,3,4,4,4,5,5,5,5,5,6,6,7,7,6,6,7,6,7,7,7,1,6,6,2,7,7,3,7,3,6,5,2,,,,,0,34,5.03,1.83
gier,vulture,1,1,2,3,3,4,4,5,5,5,5,6,7,7,7,7,7,7,6,2,6,5,4,5,5,6,1,1,2,,,,,,,,,,0,29,4.45,2.08
haan,rooster,4,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,6,6,7,7,7,7,2,7,,,,,,,,0,31,6.26,1.15
kalkoen,turkey,4,4,4,4,4,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,7,3,3,5,6,7,6,4,3,4,,,,,,,0,32,5.50,1.39
kanarie,canary,4,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,4,5,5,7,7,4,,,,,,,,,,0,29,6.28,1.10
kip,chicken,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,6,7,7,7,7,7,6,7,,,,,,,,,,,,,,,,0,23,6.78,0.52
koekoek,cuckoo,1,2,2,2,2,3,3,3,4,5,5,6,6,6,7,7,1,3,6,5,2,2,3,4,6,6,5,4,6,2,,,,,,,,,0,30,3.97,1.87
kraai,crow,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,6,5,5,7,7,5,4,2,7,3,5,,,,,,,,,0,30,5.60,1.33
mees,chickadee,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,5,6,6,7,4,7,2,4,2,6,2,5,2,4,3,,,,,,,0,32,3.31,1.69
meeuw,seagull,3,3,4,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,2,7,4,6,7,6,7,7,7,2,6,4,6,7,6,3,,,,0,35,5.66,1.61
