,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of 'don't know'-responses,number of participants who know the item,average,standard deviation
auto,car,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,7,6,,,,,0,34,6.82,0.39
boot,boat,4,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,5,7,6,7,7,7,6,6,7,7,7,,,,0,35,6.43,0.81
bromfiets,scooter,3,4,4,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,,,,,,,0,32,6.44,1.08
brommer,motorbike,3,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,5,7,5,7,7,7,5,7,5,6,6,,,,,,0,33,6.21,0.99
bus,bus,4,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,5,6,6,7,7,7,7,7,7,7,6,7,6,1,7,,,,,0,34,6.21,1.25
camion,truck,3,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,,,,,,,,,,0,29,6.59,0.87
camionette,van,2,3,3,4,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,6,5,5,5,6,6,7,7,7,5,7,7,5,7,7,6,,,,0,35,5.89,1.30
caravan,trailer ,4,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,5,5,6,6,6,6,7,7,5,4,7,7,5,,,,,,0,33,6.09,0.98
duikboot,submarine,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,5,7,5,7,3,3,7,7,7,7,5,,,,,,,,,0,30,6.13,1.22
fiets,bicycle,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,0,28,6.75,0.52
gocart,go-cart,3,3,3,4,4,6,6,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,6,6,5,6,7,7,7,2,7,2,5,,,,,,0,33,5.82,1.63
helikopter,helicopter,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,5,7,7,6,5,,,,,,,,,,0,29,6.38,0.78
hovercraft,hovercraft,1,1,2,2,2,3,3,4,4,5,5,5,5,6,6,6,7,X,X,X,5,5,5,5,1,4,3,1,5,7,X,,,,,,,,4,27,4.00,1.86
jeep,jeep,4,4,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,5,6,6,7,7,5,7,7,6,4,4,5,5,7,2,,0,37,5.89,1.22
kar,cart,2,3,3,4,4,4,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,6,5,7,4,7,7,6,,,,,,,,,,,0,28,5.61,1.47
koets,carriage,2,3,4,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,5,6,6,4,3,6,2,7,,,,,,,,0,31,5.71,1.53
luchtballon,(hot air) balloon,4,5,5,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,6,7,7,7,7,7,6,6,,,,,,,0,32,6.56,0.76
metrostel,subway train,2,3,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,5,7,7,7,6,2,6,7,6,,,,,,,,,,,,,0,26,5.58,1.47
moto,motorbike,1,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,6,7,7,6,2,6,4,5,3,5,,,,,,0,33,5.94,1.54
raket,rocket,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,6,6,,,,,,,,0,31,6.52,0.68
skateboard,skateboard,4,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,6,4,7,7,5,5,2,7,7,6,,,,,,,0,32,6.09,1.17
slede,sled,4,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,4,7,5,5,6,7,6,5,,,,,,,0,32,6.13,1.13
step,kick scooter,2,3,3,4,4,4,4,4,5,5,6,6,7,7,7,7,7,7,7,7,6,5,7,2,2,7,5,,,,,,,,,,,,0,27,5.19,1.78
taxi,taxi,4,4,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,7,7,5,6,,,,,,,,0,31,6.19,0.98
tractor,tractor,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,6,6,6,5,7,7,7,5,7,7,6,6,,,,,,,0,32,6.47,0.72
tram,tram,3,4,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,6,,,,,,,0,32,6.22,1.04
trein,train,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,6,7,7,7,,,,,,0,33,6.70,0.64
vliegtuig,airplane,3,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,6,7,6,7,7,7,7,6,,,,,,,0,32,6.50,0.95
