,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of 'don't know'-responses,number of participants who know the item,average,standard deviation
acteur,actor,2,2,3,3,3,4,5,5,5,6,7,7,7,7,7,7,5,5,2,4,4,5,7,7,5,7,5,1,5,6,7,6,,,,,,,0,32,5.03,1.80
advocaat,lawyer,1,2,2,3,3,3,4,5,5,5,5,5,6,7,7,7,6,7,6,6,7,7,7,7,5,4,6,6,5,7,2,,,,,,,,0,31,5.10,1.81
apotheker,pharmacist,1,2,2,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,5,5,7,3,7,6,5,5,6,7,7,7,7,7,,,,,0,34,5.79,1.67
archeoloog,archaeologist,1,2,2,2,2,3,3,4,5,5,5,5,5,5,5,6,7,7,7,4,6,4,3,7,5,1,6,4,6,6,,,,,,,,,0,30,4.43,1.81
architect,architect,1,2,2,2,4,4,4,5,5,5,5,6,6,6,7,7,7,7,7,7,4,7,1,4,3,4,5,3,1,4,7,7,2,6,,,,,0,34,4.62,2.02
bakker,baker,4,4,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,6,5,2,3,7,7,3,7,7,6,6,,,,,,,,,0,30,5.83,1.46
boekhouder,accountant,1,1,2,2,3,3,4,4,4,4,4,5,5,5,5,6,6,7,7,7,7,6,1,2,7,7,6,3,5,,,,,,,,,,0,29,4.45,1.99
brandweerman,fireman,4,4,4,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,7,7,7,7,5,7,6,7,1,6,,,,,,,,0,31,6.10,1.40
dierenarts,veterinarian,2,2,3,3,3,3,4,4,4,6,6,7,7,7,7,7,5,7,6,7,1,2,7,5,7,6,2,7,7,2,7,2,,,,,,,0,32,4.84,2.13
directeur,manager,2,3,5,5,5,6,6,6,6,7,7,7,7,7,7,7,3,7,4,5,6,5,7,7,7,4,6,,,,,,,,,,,,0,27,5.70,1.46
dokter,doctor,3,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,2,7,7,3,7,7,7,7,7,7,7,7,7,7,,,,,,,0,32,6.28,1.30
informaticus,information scientist,2,2,2,2,3,4,5,5,5,5,6,7,7,7,7,7,7,7,7,4,6,2,4,1,7,6,7,7,6,6,1,,,,,,,,0,31,4.97,2.11
kinesist,physiotherapist,1,1,2,2,3,4,4,4,4,5,6,6,6,2,5,1,7,5,X,7,1,7,7,4,3,3,5,7,,,,,,,,,,,1,27,4.15,2.07
kok,cook,2,3,4,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,6,6,6,7,7,2,2,7,,,,,,0,33,6.09,1.59
leraar,teacher,2,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,6,3,7,7,7,7,,,,,,,0,32,6.28,1.25
loodgieter,plumber,1,2,2,4,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,X,6,6,4,5,7,5,5,5,5,7,7,7,3,5,,,,,1,33,5.52,1.62
marktkramer,stallholder,3,3,4,4,5,6,6,6,6,6,7,7,7,7,7,7,7,6,6,4,6,7,3,5,5,7,5,4,7,5,3,7,,,,,,,0,32,5.56,1.41
minister,minister,2,2,2,2,3,3,4,4,4,4,5,5,6,6,7,7,7,7,6,4,1,3,5,7,5,5,5,1,5,7,7,5,5,,,,,,0,33,4.58,1.85
opvoedster,educator,1,2,3,3,4,4,4,4,4,5,5,5,5,5,5,6,6,7,7,7,3,6,6,7,2,6,7,6,5,4,3,7,6,7,5,,,,0,35,4.91,1.63
piloot,pilot,3,3,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,3,7,6,6,7,7,6,5,5,6,7,,,,,,,,,0,30,5.73,1.26
politieagent,police officer,4,4,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,,,,,,0,33,6.36,0.90
postbode,postman,3,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,6,6,5,7,7,5,7,7,7,,,,,,,,0,31,6.39,0.95
psycholoog,psychologist,2,2,3,4,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,7,7,6,5,7,7,7,7,7,1,3,,,,,,0,33,5.61,1.68
rechter,judge,1,2,4,4,4,4,5,5,6,6,6,6,6,7,7,7,7,7,5,5,6,6,7,4,3,7,5,7,7,5,7,7,7,,,,,,0,33,5.52,1.58
secretaresse,secretary,2,3,4,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,6,7,4,7,7,6,7,6,,,,,,,,,,0,29,5.90,1.29
