,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of 'don't know'-responses,number of participants who know the item,average,standard deviation
aap,monkey,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,6,X,7,2,7,7,7,7,7,7,6,7,,,,,1,33,6.45,1.09
bever,beaver,2,3,3,4,5,5,5,6,6,6,7,7,7,7,7,7,7,7,3,5,6,6,7,7,4,6,2,7,6,7,6,,,,,,,,0,31,5.58,1.61
bizon,bison,3,3,4,4,5,5,5,5,5,5,6,6,6,7,7,7,5,5,6,5,7,7,7,7,5,7,2,7,7,,,,,,,,,,0,29,5.52,1.40
dromedaris,dromedary,2,2,2,3,5,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,4,5,6,5,6,7,5,2,5,6,4,,,,,,,,0,31,5.52,1.75
eekhoorn,squirrel,3,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,6,6,7,7,6,7,7,5,,,,,,,,0,31,6.19,1.01
egel,hedgehog,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,5,6,7,7,7,,,,,0,34,6.38,0.89
ezel,donkey,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,5,6,7,7,6,7,,,,,0,34,6.62,0.70
giraf,giraffe,3,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,4,,,,,,,0,32,6.66,0.90
hamster,hamster,3,3,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,5,6,7,7,7,7,4,5,4,6,6,7,7,7,,,,,,,0,32,6.22,1.21
hert,deer,4,4,5,6,6,6,6,6,7,7,7,7,7,7,7,6,4,6,6,7,7,7,6,7,7,7,7,6,7,6,7,,,,,,,,0,31,6.29,0.94
hond,dog,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,5,3,7,7,5,5,,,,,0,34,6.50,0.90
ijsbeer,polar bear,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,5,7,5,7,7,7,7,7,7,7,5,7,,,,,,,,,0,30,6.50,0.78
kangoeroe,kangaroo,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,6,7,6,6,2,3,7,7,5,3,7,,,,0,35,6.20,1.30
kat,cat,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,2,7,7,7,,,,,,,0,32,6.47,1.05
koe,cow,4,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,5,7,7,6,7,,,,,,,0,32,6.56,0.80
konijn,rabbit,3,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,7,7,7,7,7,6,,,,,,0,33,6.61,0.93
lama,llama,2,2,4,4,4,6,6,6,6,6,7,7,7,7,7,7,7,4,3,6,6,7,7,7,2,7,7,7,7,7,4,4,,,,,,,0,32,5.63,1.72
leeuw,lion,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,,,,,,,,,0,30,6.77,0.43
muis,mouse,3,3,3,4,5,6,6,6,6,7,7,7,7,7,7,7,7,7,5,7,7,6,7,7,7,6,7,6,7,5,7,7,7,,,,,,0,33,6.15,1.28
neushoorn,rhinoceros,3,3,4,4,4,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,6,6,6,7,7,6,7,7,6,4,,,0,36,6.11,1.21
nijlpaard,hippopotamus,4,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,6,7,7,7,6,,,,,,,0,32,6.28,0.89
olifant,elephant,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,,,,,,,,0,31,6.61,0.67
paard,horse,1,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,6,7,7,7,7,7,,,,,,,,,,,,0,27,6.56,1.19
schaap,sheep,5,5,6,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,6,5,5,6,5,6,7,6,7,6,6,6,6,,,,,,0,33,6.36,0.74
tijger,tiger,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,6,7,7,4,7,7,5,7,7,,,,,0,34,6.47,0.79
varken,pig,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,6,7,7,7,7,6,7,,,,,,,0,32,6.59,0.67
vleermuis,bat,4,4,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,5,7,7,7,6,6,6,7,7,7,6,7,2,,,,,,0,33,6.18,1.18
vos,fox,3,3,3,4,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,4,6,6,7,7,7,7,6,6,6,7,7,7,,,,0,35,6.03,1.27
wolf,wolf,1,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,3,6,,,,,,,,,,0,29,6.17,1.39
zebra,zebra,3,4,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,5,7,,,,,,,,,,0,29,6.41,0.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
