,feature/ exemplar ENGLISH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
feature / exemplar DUTCH,,freq,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
als tussendoortje,as a snack,4,4,0,3,0,4,0,4,2,1,4,3,4,2,4,1,2,4,2,2,4,4,0,4,0,4,4,4,4,4,0
bestaat in verschillende kleuren,comes in different colours,9,1,2,0,0,1,0,0,0,1,2,0,1,0,3,0,0,1,0,1,0,0,0,0,3,0,0,0,2,1,1
bestaat in verschillende soorten,exists in different kinds,7,0,1,1,4,3,3,0,0,2,1,0,0,0,0,2,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0
bevat pitten,contains seeds,7,2,0,0,1,4,2,0,0,0,0,0,4,0,3,2,0,0,0,0,3,0,0,0,4,0,4,0,3,2,0
bevat veel vitaminen,contains vitamines,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
eetbaar,edible,10,3,1,3,0,3,1,1,0,4,4,2,4,0,4,1,0,4,3,3,4,4,3,2,3,4,4,4,4,4,0
gezond,healthy,20,0,0,0,0,0,4,0,0,0,0,2,3,0,0,1,3,0,0,1,1,0,0,0,1,0,0,1,0,0,2
groeit aan bomen,grows on trees,11,4,3,4,4,4,4,4,4,1,4,3,4,4,4,4,2,1,4,4,4,4,4,3,4,4,4,1,4,4,3
groeit aan een plant,grows on a plant,3,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,4,0,0,2,1,1,1,0,2,1,0,3,1,0,0
groeit aan een struik,grows on a bush,6,0,0,0,4,0,4,0,0,2,3,1,0,0,0,3,4,2,4,2,4,0,3,4,0,0,3,3,0,2,1
groeit in de natuur,grows in the countryside,3,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,3,0,4,0,1,0,0,0,1,0,0,0,0,0,0
heeft een schil,has a peel,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
heeft veel zon nodig om te groeien,needs a lot of sun to grow,2,0,0,1,0,4,0,0,0,0,0,1,1,0,1,1,3,0,1,3,0,2,2,0,3,2,0,3,1,0,0
is duur,is expensive,2,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4
is een vrucht,fruit (in dutch: vrucht),4,3,3,3,4,4,2,4,4,4,4,2,3,4,3,4,1,4,3,3,3,4,3,4,3,3,4,3,3,4,2
is rond,is round,2,1,2,1,0,0,0,0,3,0,0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
is sappig,is juicy,8,2,0,0,0,4,0,0,0,0,0,0,4,0,2,2,0,0,0,1,3,0,0,0,1,0,3,0,4,1,0
is seizoensafhankelijk,is seasonal,2,0,1,0,0,0,1,0,0,4,4,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0,4,0
is zacht,is soft,2,1,1,1,3,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,2,1,1,3,1,1,1
kleurrijk,colourful,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lekker,tasty,14,4,2,1,4,4,0,4,4,4,4,0,2,3,2,3,0,4,0,2,0,2,0,2,0,2,2,0,3,4,0
ruikt lekker,smells nice,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
smaakt fris,tastes fresh,2,4,2,0,0,0,0,4,4,0,0,2,2,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
wordt gebruikt in een fruitsalade,used for making fruitsalad,2,0,0,0,4,0,4,0,0,1,1,3,0,0,0,3,4,1,4,4,1,0,4,4,0,0,0,0,0,0,1
wordt gekweekt,is grown,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordt na een tijdje rot,rots after a while,6,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
wordt veel gebruikt bij desserts,often used for deserts,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,1,3,0,1,2,0
zoete smaak,sweet taste,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heeft een felle kleur,has a bright colour,2,2,3,2,1,1,2,1,1,4,4,0,0,3,2,1,0,3,0,3,1,2,2,1,0,2,1,3,1,4,0
kan je in de supermarkt kopen,can be bought at the supermarket,2,2,4,4,4,4,4,2,2,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4
kan verschillende vormen hebben,comes in different shapes,5,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
rijpt,ripens,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3
