,feature/ exemplar ENGLISH,,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
feature / exemplar DUTCH,,freq,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
er zijn verschillende soorten,there are many kinds of it,6,4,1,1,0,2,0,1,0,2,3,4,0,1,4,3,3,1,1,4,0,0,3,4,3,2,2,2,2,1,1
heeft een vacht,has a fur (in dutch: vacht),14,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,1,1,1,4,4,4,1,2,4,4,3
heeft poten,has legs,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,4,4
heeft vier poten,has four paws,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4
is een dier,is an animal,6,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
kan verschillende kleuren hebben,can have different colors,2,3,0,0,0,0,0,1,3,2,0,2,0,0,4,4,3,0,1,2,0,0,1,3,3,4,2,1,1,1,2
kan zwemmen,can swim,2,1,4,2,1,1,0,2,1,2,2,4,4,0,2,1,0,1,2,2,1,3,2,3,1,2,1,0,2,2,2
leeft in de zoo,lives in the zoo,2,4,3,4,4,2,1,3,4,1,4,1,4,4,1,0,1,4,4,1,4,4,4,2,1,4,1,3,4,4,4
leeft in het wild,lives in the wild,3,4,4,4,3,4,4,1,4,1,4,0,4,4,3,0,3,4,4,4,4,4,4,1,0,4,1,4,4,4,4
leeft in water,lives in water,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
leeft op het land,lives on land  ,8,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4
ademt,breathes,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ademt door longen,breathes through lungs,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
baart levende jongen,its babies are born alive,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
eet,eats,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
gaat dood,dies,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
heeft longen,has lungs,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
heeft ogen,has eyes,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
heeft tepels,has nipples,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4
is behaard,is hairy,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,1,4,4,4,2,1,4,4,4
is een dolfijn,is a dolphin,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is een levend wezen,is a living being,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
is een mens,is a human,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is er in verschillende groottes,comes in different sizes,7,4,3,3,3,4,3,3,3,4,4,4,3,3,3,3,4,3,3,3,3,3,4,4,3,3,4,4,3,3,3
is er in verschillende vormen,comes in different shapes,2,4,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3
is gewerveld,is a vertebrate,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
is warmbloedig,is warm-blooded,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
kan niet vliegen,can't fly,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4
kan zich voortplanten,is able to reproduce,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
kan ziek worden,can become ill,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
leeft op het land en in het water,lives on land and sea,5,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
legt geen eieren,does not lay eggs,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
wordt soms als huisdier gehouden,is sometimes kept as a pet,3,2,0,0,0,1,0,3,0,4,2,4,0,0,4,2,4,1,0,2,0,0,0,3,3,0,3,0,0,0,0
zoogt de jongen,breastfeeds its babies,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
