,feature/ exemplar ENGLISH,,viper,alligator,boa,cobra,dinosaur,gecko,lizard,blindworm,caiman,chameleon,frog,crocodile,iguana,toad,python,salamander,tortoise,snake,monitor lizard,turtle
feature / exemplar DUTCH,,freq,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
angstaanjagend,is terrifying,19,3,4,4,4,3,1,1,1,4,1,1,4,3,1,4,1,0,4,4,0
bedreigde diersoort,endangered species,12,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bestaat al eeuwenlang,exists for ages,11,3,4,3,3,2,3,4,3,3,3,3,3,3,3,3,3,4,3,4,3
bijt,bites,14,4,4,3,4,4,4,3,1,4,3,0,4,3,0,3,2,2,4,4,2
blaast wangen op,blows up its cheeks,7,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0
de billetjes worden gegeten,the legs are eaten,7,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
dodelijk,is lethal,11,2,4,3,4,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0
eet insecten,eats insects,43,1,1,1,1,1,3,4,3,1,4,4,1,2,4,1,3,2,1,2,2
eet kleine dieren,eats small animals,4,4,4,4,4,2,3,2,3,4,2,2,4,2,2,4,2,2,4,2,2
eet planten,eats plants,11,0,0,0,0,2,2,2,1,0,2,2,0,2,2,0,2,4,0,2,4
eet ratten of muizen,eats rats and mice,15,3,3,4,4,0,1,0,1,3,0,0,3,0,0,4,0,0,4,0,0
eet sla,eats salad,4,1,1,1,1,0,1,2,0,1,1,1,1,1,1,1,1,4,1,1,2
eet vliegen,eats flies,5,0,0,0,0,0,2,3,2,0,3,4,0,2,4,0,1,0,0,1,0
er worden schoenen en handtassen van gemaakt,shoes and handbags are made of it,15,1,3,3,3,0,0,0,0,4,0,0,4,0,0,2,0,1,3,0,1
er wordt soep van gemaakt,soup is made of it,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1
er zijn verschillende soorten,there are many kinds of it,13,4,4,3,3,4,3,4,2,2,3,4,4,4,4,2,4,4,4,4,4
"gebruikt voor spreekwoord ""onder het gras""","as the saying goes ""a…in the grass""",5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gevaarlijk,is dangerous,78,3,3,3,4,2,1,1,0,4,1,1,4,1,0,4,1,0,4,2,0
gevaarlijk voor mensen,is dangerous to people,9,3,4,3,4,2,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0
graaft zich in op het land,earths,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
grote muil,has a big mouth,18,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
heeft 2 ogen,has two eyes,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
heeft bolle ogen,has round eyes,6,1,4,1,1,2,3,2,1,4,3,4,4,3,4,1,2,2,1,3,2
heeft een kraag in de nek,has a 'collar' in its neck,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
heeft een lange staart,has a long tail,45,1,4,1,1,3,3,3,1,4,3,0,4,3,0,1,3,0,1,4,0
