is bruin,is brown,0,0,0,-2,1,-2,-3,0,-2,1,1,-3
is de baas in het kippenhok,the boss among the chickens,1,1,-2,2,-2,2,-3,-3,1,0,-3,-3
is dom,is dumb,1,1,-3,-1,0,-3,-3,-3,-3,-1,-3,-2
is donker van kleur,dark colour,-2,1,0,0,2,-3,-3,0,-2,1,2,-3
is een dier,is an animal,3,3,3,2,3,-1,3,3,3,3,3,1
is een huisdier,is a pet,1,0,-1,-1,1,-3,-3,1,0,1,1,-3
is een roofvogel,is a bird of prey,3,1,-1,3,-1,3,-3,3,1,1,1,-3
is een trekvogel,is a migratory bird,2,1,2,2,-1,3,-3,3,2,1,1,-1
is een vleeseter,is a carnivore,1,2,-2,0,-2,-2,3,-3,-1,1,-2,-3
is eetbaar,is edible,1,0,-1,2,1,-2,-2,2,1,1,1,-3
is grappig,is funny,-3,1,-3,-1,-2,-3,-3,-3,-2,0,0,-3
is grijs en zwart en wit,"is grey, black and white",0,0,0,-1,-1,-3,-3,-3,-2,0,-3,-3
is groen,is green,-2,-3,0,-2,-2,-3,-3,0,-2,-1,-3,-3
is groot,is big,0,-1,0,-1,-1,-3,-3,-2,-1,0,0,-3
is groter dan een kip,is bigger than a chicken,0,1,-1,1,2,-3,-3,-3,0,0,-3,-2
is klein,is small,1,1,0,1,2,-3,-3,0,-1,1,2,-2
is lekker,is tasty,2,2,0,1,-2,-3,-3,-3,1,1,-1,-2
is lelijk,is ugly,-2,-3,-3,-2,-1,-3,-3,-3,-3,-2,-3,0
is lief,is sweet ,-2,2,-2,-2,0,-3,-3,-3,-2,1,-1,0
is mooi,is beautiful,-1,3,1,0,1,-3,-3,1,-2,2,1,0
is niet gevaarlijk,is not dangerous,1,1,-1,1,1,-3,-3,0,-1,3,2,-1
is schattig,is cute,-2,0,-1,-2,0,-3,-3,0,-1,0,1,-2
is slim,is smart,1,0,-2,-1,-1,-3,-3,-3,-1,1,0,-1
is snel,is fast,2,2,2,3,2,-2,-2,1,2,2,1,0
is symbool voor vrede,is a symbol for peace,1,1,-2,2,1,1,-3,0,2,1,-3,0
is wit,is white,-2,1,0,-2,-1,-3,-3,-1,-2,0,0,-2
is zeer mensenschuw,is afraid of people,1,1,-2,2,3,1,-2,-3,-2,2,1,-1
is zeer vroeg wakker,rises early,1,3,2,2,3,-3,-3,3,2,3,2,-2
jaagt,hunts,1,2,0,0,2,-1,1,0,0,1,1,-2
kakelt,cackles,3,0,-2,0,-1,-2,-3,1,1,1,0,-3
kan aggressief zijn,can be aggressive,1,1,-1,0,1,-3,0,-2,0,-1,-1,-3
kan een groet zijn,can be a greeting,1,-3,-3,-2,0,0,-3,1,-1,-3,-3,-2
kan goed duiken,is good at diving,2,1,-2,1,-2,-2,-3,-2,-2,-1,0,-3
kan je vangen,can be caught,1,2,-2,2,0,-3,-1,2,-1,3,0,0
kan je voederen,can be fed,2,0,-1,1,2,-3,-3,3,1,1,1,0
kan mooi fluiten,can sing beautifully,3,3,-1,1,-1,2,-3,3,1,3,1,2
kan niet vliegen,can't fly,3,1,-1,0,-3,-1,-3,-3,0,-2,-3,-2
