heeft een lange tong,has a long tongue,0,-3,0,-3,0,-1,1,-2,-3,0,1,-2
heeft een slurf,has a trunk,0,0,-1,-3,0,0,1,-3,0,2,0,-3
heeft een spitse snuit,has a pointed snout,1,-1,0,-2,0,-2,0,-3,-2,-1,0,-3
heeft een staart,has a tail,-2,-2,-2,-3,2,-1,2,-2,2,2,2,3
heeft een uier,has an udder,-2,2,2,-3,0,-2,0,3,-1,1,2,-3
heeft een vacht,has a fur (in dutch: vacht),-2,3,1,3,2,2,1,0,2,1,3,2
heeft een winter en zomervacht,has winter and summerfur,-1,2,2,-1,1,2,2,-3,1,2,2,-1
heeft een wollen vacht,has a woollen fur,-1,1,2,-3,1,1,0,2,1,1,1,-1
heeft grote tanden,has large theeth,1,0,-2,-2,1,1,2,-3,-1,0,2,1
heeft grote voortanden,has large front teeth,1,0,1,0,0,1,2,-3,-2,2,3,0
heeft hoeven,has hoofs,-1,0,-2,0,0,2,1,-3,-1,-1,1,0
heeft hoorns,has horns,-2,0,0,-2,0,0,1,-3,-2,1,1,-2
heeft jongen = welpjes,has young = cubs,1,2,3,-2,1,1,2,2,0,2,-1,-3
heeft klauwen,has claws,0,0,1,-1,0,-1,2,-3,1,0,1,0
heeft knaagtanden,has gnawing teeth,0,0,1,-3,0,-2,1,2,-2,1,0,-2
heeft korte poten,has short paws,-2,0,1,-2,1,0,0,-3,-2,-1,0,-2
heeft lange achterpoten,has long hind legs,-1,1,1,-2,0,-1,0,-3,-2,-1,1,-3
heeft lange oren,has long ears,-2,0,-1,-1,1,1,0,-3,0,1,0,-2
heeft lange poten,has long paws,-1,0,-1,-1,0,-2,1,-3,-2,-1,0,0
heeft manen,has manes,0,1,1,-3,0,2,1,-3,-2,-1,0,-2
heeft meerdere magen,has several stomachs,-2,2,1,-3,0,-3,0,0,0,-1,-2,-3
heeft meestal 1 jong per keer,usually has one young at a time,1,3,1,-2,1,-3,2,-2,-1,3,0,-1
heeft mooie staart,has a beautiful tail,-1,-2,1,-3,0,-3,2,-3,0,1,0,-2
heeft poten,has legs,1,0,-1,3,1,1,1,0,2,2,3,2
heeft scherpe klauwen,has sharp claws,1,1,1,-2,1,0,2,0,1,0,0,0
heeft scherpe tanden,has sharp teeth,0,0,-1,2,1,1,2,2,1,1,3,1
heeft slagtanden,has tusks,2,1,-3,-3,-2,1,2,-3,-1,3,-2,-3
heeft snorharen,has whiskers,-1,1,1,-3,0,1,2,-3,1,1,1,-1
heeft spitse oren,has pointy ears,-1,0,-1,-3,0,-3,1,-2,0,1,1,-2
heeft stekels,has prickles,-3,1,0,-2,0,1,1,-3,-3,1,-1,-3
heeft tanden,has teeth,3,-3,1,3,2,2,2,2,2,2,3,3
heeft verschillende loopstijlen oa galop,has several gaits ao gallop,0,1,0,0,0,0,2,-2,-1,1,0,-3
heeft vier poten,has four paws,0,2,-1,2,2,0,2,1,2,2,3,2
heeft vleugels,has wings,-2,-3,0,-3,-3,-2,1,0,-2,0,-3,-3
heeft witte en zwarte strepen,has white and black stripes,-2,1,-2,-3,0,-1,1,-3,-2,0,-2,-3
herkauwt,chews the cud,-1,1,1,0,1,0,0,-1,-2,1,1,-3
het is een soort beer,is a kind of bear,-2,2,2,-3,0,-2,2,-3,-2,2,0,-3
het vlees ervan wordt gegeten,the meat is eaten,1,2,1,-2,1,0,0,0,2,3,2,1
hinnikt,neighs,-1,1,-1,-3,0,2,0,-3,-2,0,0,-3
houdt winterslaap,hibernates,0,1,2,-1,0,-2,0,-3,-2,0,1,-1
huid die je kan gebruiken als kleding,skin can be used for clothes,-3,2,-2,0,-2,-2,1,0,-3,-2,3,-1
huilt,howls,1,-3,1,-3,0,2,0,1,1,-1,0,-3
in kooi,lives in a cage,-1,-1,0,-2,0,2,1,-3,-2,-1,-1,0
indianen joegen erop,indians hunted it,0,-2,-2,-3,0,2,2,-3,-2,1,2,-3
Indiase of Afrikaanse,Indians or Afrikan,2,-3,0,-2,0,-1,1,-3,-2,1,0,-3
intelligent,intelligent,1,-3,-2,2,1,-1,2,2,1,1,1,0
is agressief,is aggressive,1,-3,-2,-3,0,-2,2,1,0,1,-1,0
is beige,is beige,0,-3,-2,-3,0,0,3,-3,-2,-2,1,-3
is bruin,is brown,-2,-3,-3,-3,0,0,1,-3,-1,-2,0,0
is dik,is thick,0,-3,2,-3,1,-1,1,-1,-1,-2,0,-1
is dom,is dumb,-2,-3,-2,-3,0,-2,0,0,-2,-2,-1,-2
is een dier,is an animal,3,2,0,3,3,-2,2,3,3,3,3,3
is een huisdier,is a pet,2,1,2,1,0,2,0,-1,0,-1,2,0
is een roofdier,is an animal of prey,1,1,0,-1,1,1,2,2,1,1,1,1
is een vleeseter,is a carnivore,2,3,1,-3,1,1,3,0,2,3,1,1
is geel met bruine vlekken,is yellow with brown spots,-2,0,-2,-3,0,0,1,-3,-2,-2,0,-3
is gevlekt,is specked,-1,-3,-1,-2,0,0,1,-3,-2,-1,0,0
is grappig,is funny,1,-3,-2,-3,1,3,1,0,2,0,1,-3
"is grijs, bruin of wit","is grey, brown or white",0,-3,0,-2,0,0,0,-3,0,-2,2,1
is groot,is big,-1,-3,-2,-3,1,2,2,1,-2,-1,2,1
is groot en dik,is large and fat,0,-3,1,-3,1,1,0,-3,-2,-2,1,-2
is klein,is small,0,-3,-2,-2,0,-3,0,-3,-2,0,-2,0
is kortharig,is short haired,0,-2,1,-3,2,1,1,-3,0,-1,3,0
is lenig,is lithe,1,-3,-2,-3,1,0,1,-3,-1,2,1,-1
is lief,is sweet ,1,-3,-3,-3,1,-2,2,0,2,-3,0,0
is mooi,is beautiful,1,-3,-3,-2,2,0,1,2,3,-3,1,1
is niet zo groot,is not verry big,1,-3,0,-2,1,1,1,-2,-2,-1,0,-2
is rossig bruin,is reddish brow,0,-3,-2,-3,0,0,1,-3,-1,-2,0,-2
is schattig,is cute,0,-3,-3,-3,1,2,1,1,3,-3,1,1
is slim,is smart,2,-2,-1,2,1,-2,1,3,2,2,1,0
is sluw,is sly,1,1,-2,1,0,1,1,2,1,0,0,-3
