,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9158"
acteur,actor,15,17,15,1,16,6,16,5,16,17,12,13,19,16,13,12,17,11,7,20,7,12,20,19,19,15,3,4,12.96428571,5.507450461,28,,
advocaat,lawyer,19,19,18,15,17,13,19,17,19,20,19,20,20,15,14,20,18,13,20,20,9,16,20,17,18,20,7,8,16.78571429,3.794314878,28,,
apotheker,pharmacist,20,19,17,9,17,12,19,17,18,20,18,20,20,13,15,20,18,16,20,20,10,14,20,20,20,20,9,12,16.89285714,3.685198479,28,,
archeoloog,archaeologist,15,6,16,4,16,7,18,9,4,20,16,20,17,11,12,12,18,15,20,20,6,12,10,13,18,17,6,3,12.89285714,5.493021065,28,,
architect,architect,18,19,16,9,17,9,19,17,13,20,15,20,20,8,14,20,18,14,20,20,11,19,20,20,20,20,11,11,16.35714286,4.075348526,28,,
bakker,baker,20,20,18,18,17,18,19,14,20,20,19,20,20,14,17,20,18,17,20,20,13,20,20,20,19,19,13,16,18.17857143,2.277971343,28,,
boekhouder,accountant,20,14,17,14,15,12,19,20,17,20,19,20,20,15,17,20,18,12,20,20,18,17,20,20,20,17,13,17,17.53571429,2.673354708,28,,
brandweerman,fireman,19,19,13,17,17,15,19,8,18,20,19,20,20,10,16,20,13,13,20,20,12,18,20,20,19,20,15,9,16.75,3.737943582,28,,
dierenarts,veterinarian,18,19,18,10,17,12,19,16,16,20,18,20,20,13,17,20,18,15,20,20,15,16,20,17,19,20,11,7,16.82142857,3.464674336,28,,
directeur,manager,18,20,16,10,17,17,19,17,13,20,17,12,19,15,15,20,18,18,20,20,15,16,20,19,20,19,13,15,17.07142857,2.761220495,28,,
dokter,doctor,19,19,18,17,17,17,19,15,20,20,20,20,20,19,15,20,18,17,20,20,14,18,20,18,20,20,8,14,17.92857143,2.734262328,28,,
informaticus,information scientist,18,18,15,8,15,7,19,16,8,20,10,20,18,9,18,20,18,11,20,20,10,12,15,16,19,10,8,11,14.60714286,4.565079089,28,,
kinesist,physiotherapist,19,20,17,12,17,10,19,17,14,20,17,20,18,10,15,20,18,15,20,20,8,11,20,18,19,19,9,11,16.17857143,3.944556225,28,,
kok,cook,20,20,16,16,17,7,19,14,15,20,19,20,20,18,16,17,18,14,20,20,17,16,20,20,18,19,14,15,17.32142857,2.93198923,28,,
leraar,teacher,20,19,18,15,17,19,19,19,20,20,20,20,20,18,20,20,18,18,20,20,18,18,20,20,20,20,17,16,18.89285714,1.39680285,28,,
loodgieter,plumber,17,20,18,12,17,17,19,15,18,20,18,20,20,15,18,20,18,15,20,20,16,18,20,20,20,19,16,15,17.89285714,2.148889217,28,,
marktkramer,stallholder,15,20,16,16,15,8,16,3,14,14,17,14,20,13,12,14,14,11,16,20,17,12,15,20,19,13,8,15,14.53571429,3.901397118,28,,
minister,minister,16,19,14,3,16,11,13,15,4,20,19,12,20,11,10,14,12,14,11,20,10,15,15,17,20,15,12,2,13.57142857,4.894657491,28,,
opvoedster,educator,17,20,15,12,17,14,19,12,13,20,19,20,18,18,19,20,14,13,20,20,4,15,5,19,20,18,15,16,16.14285714,4.248871621,28,,
piloot,pilot,20,20,15,13,17,14,19,14,13,20,15,11,20,6,13,18,18,15,20,20,14,12,20,20,20,20,9,10,15.92857143,4.06364707,28,,
politieagent,police officer,19,18,18,13,17,18,19,16,20,20,18,20,20,17,17,20,18,17,20,20,16,19,20,20,20,18,17,13,18.14285714,1.97604704,28,,
postbode,postman,18,19,18,13,17,15,19,8,18,20,18,20,20,16,17,20,18,15,20,20,18,16,20,20,20,20,15,10,17.42857143,3.096336801,28,,
psycholoog,psychologist,18,19,15,1,17,8,19,20,16,20,20,20,20,16,13,20,18,14,20,20,13,1,20,14,20,20,13,7,15.78571429,5.55349168,28,,
rechter,judge,19,18,16,13,17,10,18,15,8,20,20,20,20,9,14,20,18,16,20,20,12,17,20,17,20,18,6,8,16.03571429,4.367236119,28,,
secretaresse,secretary,20,20,17,10,17,16,19,12,20,20,19,20,20,15,18,19,18,12,20,20,12,18,20,20,19,19,18,18,17.71428571,2.91683673,28,,
slager,butcher,18,17,18,15,17,15,19,12,14,20,18,20,20,13,17,20,18,16,20,20,14,17,20,20,19,17,13,16,17.25,2.488864087,28,,
stewardess,stewardess,16,17,17,15,17,13,19,17,15,20,15,20,20,9,15,18,18,12,20,20,13,15,20,20,19,17,8,9,16.21428571,3.562740756,28,,
tandarts,dentist,20,19,18,16,17,17,19,14,15,20,20,20,20,15,17,20,18,14,20,20,13,19,20,17,19,20,11,12,17.5,2.755465948,28,,
vuilnisman,garbage collector,17,20,14,12,16,10,19,9,13,20,18,20,20,17,17,20,18,12,15,20,15,13,20,20,20,17,11,10,16.17857143,3.68232587,28,,
winkelbediende,shop-assistant,17,19,17,16,17,15,17,12,16,18,19,20,20,18,16,20,18,14,20,20,13,19,20,18,20,13,15,18,17.32142857,2.389073452,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
