,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9395"
aardappel,potato,1,20,14,9,1,19,4,5,8,6,17,18,4,18,16,11,9,1,8,4,6,14,9,20,11,18,19,10,10.71428571,6.317859124,28,,
ajuin,onions,13,10,18,17,15,7,5,11,16,18,19,7,10,18,6,7,12,12,11,8,7,20,11,20,18,20,14,11,12.89285714,4.833059653,28,,
asperges,asparagus,18,20,11,19,17,18,7,11,20,19,19,1,16,18,20,14,18,18,16,14,13,20,19,20,18,20,18,18,16.42857143,4.442459874,28,,
aubergine,eggplant,20,20,6,20,20,8,9,13,19,18,19,4,11,18,20,20,18,11,15,14,14,20,18,20,11,20,17,17,15.71428571,4.821688216,28,,
augurken,gherkins,12,20,9,11,9,18,9,9,20,18,16,2,9,18,20,17,7,9,14,4,6,13,10,20,12,20,12,15,12.82142857,5.263807743,28,,
biet,beet,15,20,12,12,20,16,17,14,15,14,16,3,8,18,19,13,13,12,16,16,12,16,6,16,12,19,12,11,14.03571429,3.98592099,28,,
bloemkool,cauliflower,20,20,19,19,20,20,17,10,20,19,20,13,17,18,20,13,18,20,18,18,17,18,20,20,18,20,15,17,18,2.538591035,28,,
bonen,beans,19,20,17,16,15,20,17,14,20,18,19,16,14,18,20,20,18,19,18,19,14,20,20,20,18,20,17,17,17.96428571,2.00890873,28,,
champignons,mushrooms,14,1,5,11,20,18,11,11,12,17,16,4,17,18,1,13,16,19,14,20,19,20,10,17,13,19,11,12,13.53571429,5.527588335,28,,
courgette,zucchini,20,20,6,17,8,15,10,17,20,16,19,2,16,18,20,19,18,14,16,20,13,17,16,20,13,20,14,18,15.78571429,4.581420957,28,,
erwten,peas,-1,20,15,14,11,7,15,18,20,20,19,15,13,18,20,19,18,19,18,17,19,18,20,20,18,20,17,16,17.18518519,3.150543751,27,,
kervel,chervil,-1,1,13,17,10,11,8,9,14,12,19,2,9,18,20,17,18,13,15,15,11,20,10,20,14,20,13,15,13.48148148,5.079145676,27,,
komkommer,cucumber,18,20,16,16,16,15,16,17,20,19,19,8,18,18,6,17,18,12,18,20,17,17,17,20,15,20,18,20,16.82142857,3.367090968,28,,
look,garlic,9,1,6,8,2,13,9,6,13,11,17,1,7,17,20,8,5,3,7,4,6,9,7,20,12,17,13,14,9.464285714,5.473722701,28,,
maïs,corn,12,10,7,13,10,19,8,10,19,16,15,1,14,16,19,13,11,5,11,20,13,15,12,20,12,18,13,11,12.96428571,4.590506652,28,,
paprika,pepper,18,1,13,14,14,10,8,11,18,14,19,16,18,18,20,14,9,15,17,20,14,18,15,20,14,20,18,18,15.14285714,4.3692044,28,,
peterselie,parsley,5,1,7,5,5,18,5,15,16,12,19,5,7,18,20,20,6,12,15,8,18,8,5,20,16,20,13,17,12,6.152385867,28,,
prei,leek,20,20,19,19,20,19,13,15,17,18,20,10,18,18,20,19,18,20,17,16,19,20,20,20,18,20,18,20,18.25,2.366823156,28,,
radijs,radish,15,20,13,14,15,8,16,5,20,16,16,4,10,18,20,14,18,14,15,8,15,18,14,20,12,20,14,15,14.53571429,4.350241737,28,,
rode kool,red cabbage,20,20,14,18,17,10,13,17,18,20,17,17,13,18,20,13,18,19,17,18,16,17,19,20,18,20,15,16,17.07142857,2.580964095,28,,
schorseneren,black salsify,12,20,9,19,12,13,7,7,20,18,18,8,14,18,7,17,18,18,16,14,19,12,17,20,14,19,15,10,14.67857143,4.34659144,28,,
selder,celery,18,20,15,18,15,14,10,14,20,18,19,2,13,18,20,17,18,20,16,15,18,20,20,20,16,20,16,18,16.71428571,3.866830867,28,,
sla,lettuce,20,20,18,16,20,20,18,18,20,16,20,15,19,18,20,20,18,20,19,20,19,20,19,20,18,20,17,20,18.85714286,1.458418365,28,,
spinazie,spinach,19,20,15,17,20,20,16,15,20,19,19,15,18,18,20,20,18,20,18,15,12,19,20,20,18,20,16,17,18,2.160246899,28,,
spruiten,Brussels sprouts,16,20,15,15,20,19,15,16,20,18,19,1,15,18,20,20,18,20,18,13,18,20,20,20,18,20,15,13,17.14285714,3.913076707,28,,
tomaat,tomato,20,20,19,20,20,20,18,19,20,20,20,13,18,18,18,13,18,1,17,20,19,17,20,1,18,20,18,20,17.32142857,4.974405391,28,,
waterkers,water cress,17,20,8,11,8,17,14,4,16,13,15,3,8,18,13,20,6,7,10,8,15,10,9,20,12,20,12,17,12.53571429,5.044117534,28,,
witloof,endive,20,20,15,20,20,19,11,7,20,19,20,14,15,18,20,17,18,19,18,18,18,19,20,20,18,20,17,15,17.67857143,3.079845732,28,,
witte kool,white cabbage,17,20,16,19,15,14,13,12,20,18,20,9,13,18,20,17,18,20,17,15,18,16,20,20,18,20,16,16,16.96428571,2.87366256,28,,
wortel,carrot,18,20,19,19,20,20,17,18,20,19,19,15,17,18,20,17,18,20,18,20,20,20,20,20,18,20,18,20,18.85714286,1.325373063,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
