,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9236"
adder,viper,14,13,-1,18,13,13,17,14,15,5,18,17,10,6,15,5,16,14,16,5,14,20,20,11,16,9,15,17,13.55555556,4.388212649,27,,
alligator,alligator,18,19,20,1,15,19,17,20,19,20,14,18,19,14,15,19,14,14,13,14,15,16,18,17,20,16,16,20,16.42857143,3.804758925,28,,
boa,boa,18,13,18,18,2,16,16,17,15,5,15,15,10,6,17,16,18,16,17,5,14,20,20,9,20,11,17,4,13.85714286,5.26141993,28,,
cobra,cobra,18,13,18,18,4,13,15,19,17,5,15,16,10,6,16,16,18,16,17,5,14,20,15,13,17,11,17,8,13.92857143,4.594107106,28,,
dinosaurus,dinosaur,15,1,20,8,12,14,5,15,16,20,7,9,18,8,8,19,8,18,9,8,5,15,11,20,14,18,4,10,11.96428571,5.480484859,28,,
gekko,gecko,20,13,19,5,7,15,16,-1,11,20,15,-1,16,16,16,8,12,20,12,5,-1,16,17,19,20,14,17,12,14.44,4.555948493,25,,
hagedis,lizard,15,19,20,20,13,17,15,17,19,20,16,17,18,19,15,17,18,20,15,20,18,20,20,20,20,16,16,15,17.67857143,2.126613922,28,,
hazelworm,blindworm,-1,1,-1,1,1,5,8,6,2,1,11,6,3,-1,5,4,2,10,10,1,-1,9,-1,1,18,6,-1,2,5.136363636,4.42175848,22,,
kaaiman,caiman,-1,19,19,2,7,15,17,-1,17,5,13,15,19,14,15,18,14,3,12,1,-1,20,16,17,17,16,14,19,13.76,5.65154846,25,,
kameleon,chameleon,18,20,18,19,19,13,15,10,16,20,14,19,18,15,13,12,19,15,15,20,19,20,18,14,20,17,17,13,16.64285714,2.870208222,28,,
kikker,frog,20,18,17,9,3,14,16,6,9,20,19,10,3,3,11,9,13,8,14,14,-1,20,1,1,20,8,6,16,11.40740741,6.271174956,27,,
krokodil,crocodile,18,14,20,5,19,19,15,19,19,20,19,18,19,14,15,20,18,17,15,20,15,20,17,20,20,17,17,20,17.46428571,3.167919552,28,,
leguaan,iguana,20,20,18,15,13,15,16,12,17,20,13,19,18,18,16,18,18,16,18,16,18,20,18,17,20,16,17,15,17.03571429,2.202391677,28,,
pad,toad,16,19,18,10,3,18,14,7,4,20,19,14,3,3,13,6,18,6,17,13,6,20,1,1,20,6,4,12,11.10714286,6.701792384,28,,
python,python,20,13,19,18,4,16,16,17,16,5,14,14,10,6,16,16,18,17,18,5,14,20,12,15,17,11,17,7,13.96428571,4.741324575,28,,
salamander,salamander,20,17,17,6,12,14,16,13,16,20,19,11,3,19,14,7,17,7,17,1,18,20,7,17,20,14,15,13,13.92857143,5.374346275,28,,
schildpad,tortoise,18,14,17,5,19,14,16,10,7,20,19,18,18,11,14,16,12,11,14,20,16,20,16,18,20,19,13,10,15.17857143,4.101070966,28,,
slang,snake,20,19,18,20,11,16,16,18,17,20,19,18,10,6,16,18,19,16,18,5,14,20,16,20,20,15,16,5,15.92857143,4.520968197,28,,
varaan,monitor lizard,-1,20,19,15,10,12,17,10,17,1,10,14,19,18,16,19,17,15,12,17,-1,13,16,16,14,15,5,18,14.42307692,4.455765496,26,,
waterschildpad,turtle,14,11,17,4,16,16,16,10,6,20,17,18,10,10,9,9,12,7,13,19,13,19,11,13,20,18,13,12,13.32142857,4.355104042,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
