,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9131"
blikopener,can opener,20,13,19,19,12,15,16,15,18,13,18,20,15,15,19,15,18,10,13,14,17,20,17,20,20,7,14,11,15.82142857,3.432454811,28,,
bord,plate,20,13,20,20,10,20,15,19,15,8,13,20,19,19,10,17,16,12,14,16,19,20,20,20,18,16,17,7,16.17857143,3.972624577,28,,
broodrooster,toaster,20,11,19,18,10,16,13,20,16,9,19,19,16,16,16,11,19,13,11,12,16,20,16,20,18,9,14,16,15.46428571,3.584763465,28,,
fles,bottle,20,5,17,16,3,12,13,16,16,3,11,17,14,5,10,12,15,9,4,8,13,20,10,15,17,13,14,2,11.78571429,5.223572943,28,,
fornuis,stove,20,17,19,20,20,20,12,18,19,12,20,18,18,15,20,20,20,14,19,20,20,20,20,20,20,20,19,17,18.46428571,2.411118426,28,,
frigo,fridge,20,5,19,19,5,6,14,20,16,5,18,19,18,15,20,11,20,15,13,20,20,15,20,20,16,16,19,19,15.82142857,5.033617147,28,,
glas,glass,20,11,20,17,10,18,11,14,13,9,15,20,14,18,11,11,15,10,12,15,15,20,20,6,18,17,15,6,14.32142857,4.190408549,28,,
handdoek,towel,20,15,18,14,4,16,17,16,11,4,16,19,14,7,10,4,15,4,17,4,18,20,10,15,18,1,12,8,12.39285714,5.788489765,28,,
ketel,kettle,20,13,10,20,20,8,9,16,18,13,18,17,17,17,6,11,19,12,19,11,14,20,13,17,18,9,16,14,14.82142857,4.119093495,28,,
klopper,whisk,20,15,18,17,17,16,16,18,19,12,18,20,15,17,19,19,17,13,17,12,16,20,20,20,20,12,15,16,16.92857143,2.552102567,28,,
koffiezet,percolator,20,17,19,19,20,19,13,20,10,7,19,19,17,15,15,13,20,13,18,-1,19,20,20,20,18,15,14,14,16.77777778,3.47887397,27,,
kom,bowl,20,11,19,19,13,20,17,19,19,12,12,20,13,16,12,17,15,15,12,10,18,20,20,14,19,17,16,10,15.89285714,3.424738819,28,,
lepel,spoon,20,13,20,14,5,20,15,20,18,5,14,20,18,19,16,14,20,17,14,20,17,20,20,20,19,18,17,7,16.42857143,4.459102812,28,,
mes,knife,20,13,20,15,5,16,15,19,13,8,18,20,19,19,20,14,20,16,14,20,17,20,20,20,19,18,16,6,16.42857143,4.289768805,28,,
microgolf,microwave oven,20,17,19,20,18,17,12,20,17,9,20,20,18,13,18,11,19,15,15,15,19,20,20,20,20,15,19,14,17.14285714,3.135392771,28,,
mixer,mixer,20,17,18,13,19,15,14,19,20,14,20,20,19,16,18,18,16,7,18,12,19,20,20,20,20,18,19,20,17.46428571,3.132649368,28
notenkraker,nutcracker,20,11,17,9,3,8,16,8,13,15,11,19,15,13,11,15,18,8,9,10,14,20,10,-1,17,4,12,6,12.2962963,4.672462823,27
onderlegger,place mat,20,15,19,11,17,14,12,15,9,7,14,16,14,9,4,17,14,8,4,7,15,10,10,12,18,5,17,6,12.10714286,4.669358634,28
oven,oven,20,17,18,17,19,16,17,20,19,5,20,20,19,13,20,11,20,16,16,20,20,20,20,20,20,18,19,17,17.75,3.384332091,28
pan,pan,20,15,20,20,15,20,18,20,20,13,17,20,20,19,18,20,20,7,19,18,19,20,20,20,20,19,20,18,18.39285714,2.884688644,28
pot,pot,20,13,20,20,5,19,17,19,14,8,17,20,20,19,20,20,19,15,12,13,20,20,20,16,20,17,19,12,16.92857143,4.03621175,28
rasp,grater,20,17,17,17,16,15,15,19,14,15,17,20,15,16,17,18,19,9,9,15,12,20,20,20,20,14,15,13,16.21428571,3.095482286,28
schaar,scissors,12,10,18,9,3,15,10,11,12,3,9,19,14,10,13,11,14,14,4,6,17,8,10,16,19,9,6,4,10.92857143,4.666099739,28
schort,apron,20,5,18,12,5,7,11,17,15,5,14,17,14,12,15,20,19,16,19,5,16,20,20,20,19,16,17,8,14.35714286,5.215463374,28
spatel,spatula,20,17,12,18,13,15,8,17,20,11,14,20,16,17,18,10,19,9,11,16,18,20,20,6,20,9,13,9,14.85714286,4.38612531,28
tas,mug,20,11,19,8,14,19,15,19,13,7,10,20,14,19,9,12,16,14,12,13,14,20,20,5,18,13,14,8,14.14285714,4.419772792,28
theelepel,teaspoon,20,11,20,17,3,17,14,20,8,7,18,20,18,19,15,11,19,13,3,20,17,20,20,13,18,10,15,4,14.64285714,5.545864563,28
vergiet,colander,20,17,17,17,12,10,16,17,16,14,18,19,18,17,15,17,20,15,9,15,15,20,20,20,20,12,16,18,16.42857143,2.999118036,28
vork,fork,20,13,20,14,5,20,15,20,12,7,18,20,18,19,15,14,20,17,14,20,17,20,20,20,19,19,17,5,16.35714286,4.53965479,28
waterkoker,electric kettle,20,17,17,14,15,13,11,14,18,9,19,20,16,15,12,14,20,15,17,14,19,20,20,20,18,15,17,19,16.35714286,3.045510183,28
weegschaal,scales,1,17,18,14,16,14,10,18,18,14,9,19,13,12,12,7,15,7,4,8,18,1,15,20,20,7,13,7,12.39285714,5.526631053,28
wok,wok,20,17,17,17,17,13,14,17,19,12,19,20,14,18,14,17,14,15,17,18,13,20,20,20,20,17,20,20,17.10714286,2.5724939,28,,
zeef,sieve,20,15,16,16,10,13,14,13,17,14,14,18,16,18,16,15,17,8,13,15,13,20,16,20,18,17,12,11,15.17857143,2.957145413,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
