,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9365"
accordeon,accordion,20,18,20,20,7,16,4,20,14,17,14,14,20,12,20,20,16,16,14,16,16,20,13,14,12,14,19,19,15.89285714,4.039978784,28,,
banjo,banjo,20,19,17,18,3,16,10,16,9,17,16,12,16,16,20,19,14,17,11,16,16,20,10,12,13,9,15,19,14.85714286,4.107033585,28,,
basgitaar,bass guitar,20,20,20,20,16,17,20,20,16,17,14,16,14,19,20,20,20,17,14,18,17,20,12,15,16,13,19,20,17.5,2.560381916,28,,
cello,cello,20,20,19,20,7,18,17,20,19,17,16,19,15,19,20,20,20,16,13,18,16,20,16,15,20,10,14,20,17.28571429,3.286979283,28,,
cimbalen,cymbals,20,18,18,20,2,13,16,19,8,17,10,7,14,8,20,16,17,17,7,18,13,20,7,12,12,13,19,20,14.32142857,5.092140432,28,,
contrabas,double bass,20,19,19,18,5,19,11,19,16,17,18,16,17,18,20,20,20,16,14,18,17,20,16,11,19,12,19,20,16.92857143,3.526918406,28,,
doedelzak,bagpipe,20,20,18,20,4,15,7,19,5,17,12,17,18,9,20,20,17,15,6,15,15,20,13,17,12,17,17,19,15.14285714,4.896818965,28,,
drumstel,drum set,20,20,20,19,18,15,20,20,15,17,12,14,17,15,20,16,20,18,17,20,19,20,11,20,19,14,19,20,17.67857143,2.695037572,28,,
dwarsfluit,flute,20,20,19,20,10,20,14,20,12,17,16,19,20,18,20,20,20,16,15,19,19,20,18,19,20,14,19,20,18,2.748737084,28,,
fagot,bassoon,20,14,15,15,4,17,3,20,16,17,16,20,16,16,20,20,18,11,-1,17,13,20,14,14,18,7,19,17,15.44444444,4.602117684,27,,
fluit,flute,20,20,18,18,9,19,20,20,16,17,18,19,12,14,20,20,20,17,18,20,20,20,14,20,20,13,19,19,17.85714286,2.927700219,28,,
gitaar,guitar,20,20,20,20,20,19,20,20,19,17,20,18,20,19,20,20,20,17,18,19,20,20,16,20,20,18,19,20,19.25,1.1426091,28,,
harp,harp,20,20,20,20,4,17,13,20,11,17,14,18,15,13,20,20,17,18,8,17,13,20,15,12,13,14,19,20,16,4.127594582,28,,
klarinet,clarinet,20,20,18,20,9,19,7,20,14,17,16,18,16,19,20,20,20,18,12,18,17,20,14,18,20,14,19,20,17.25,3.460089915,28,,
klavecimbel,harpsichord,20,14,16,18,3,16,9,20,8,17,16,16,13,18,20,20,15,17,4,16,13,20,16,-1,4,8,-1,18,14.42307692,5.239641796,26,,
mondharmonica,harmonica,20,20,20,20,9,13,12,19,11,17,16,12,19,13,20,20,18,15,7,15,14,20,13,14,14,14,16,19,15.71428571,3.720385711,28,,
orgel,organ,20,17,15,20,5,15,20,20,9,17,20,16,15,17,20,20,18,14,11,18,14,20,16,12,10,15,19,20,16.17857143,3.953934481,28,,
panfluit,pan flute,20,18,15,18,2,12,12,20,6,17,10,15,13,16,18,20,15,18,10,15,14,20,9,12,9,10,16,19,14.25,4.599718188,28,,
piano,piano,20,20,20,20,18,20,20,20,20,17,20,19,20,20,20,20,20,18,17,19,20,20,18,20,20,19,19,20,19.42857143,0.959497223,28,,
saxofoon,saxophone,20,20,20,20,12,19,20,20,18,17,18,17,20,18,20,20,20,19,14,20,20,20,14,18,20,14,19,20,18.46428571,2.301080951,28,,
synthesizer,synthesizer,20,18,16,18,9,14,16,20,12,17,12,15,13,9,20,18,17,18,12,17,18,20,12,15,18,16,11,18,15.67857143,3.300432872,28,,
tamboerijn,tambourine,20,16,18,18,4,14,14,19,4,17,10,10,17,6,16,20,17,18,11,16,14,20,10,15,14,9,-1,20,14.33333333,4.803844614,27,,
triangel,triangle,20,13,16,20,6,13,8,19,7,17,12,9,17,17,20,18,19,20,7,14,13,20,9,14,18,12,12,17,14.53571429,4.541839592,28,,
trombone,trombone,20,15,19,20,3,17,6,20,14,17,11,16,18,16,20,20,15,17,12,18,16,20,14,18,17,11,-1,20,15.92592593,4.304969632,27,,
trommel,drum,20,20,19,20,15,13,7,20,14,17,14,12,14,9,20,20,20,20,14,18,19,20,14,12,20,15,19,20,16.60714286,3.803889683,28,,
trompet,trumpet,20,20,20,20,14,19,-1,20,15,17,20,18,19,18,20,20,19,18,18,19,20,20,14,20,20,11,19,20,18.44444444,2.342472943,27,,
viool,violin,20,20,20,20,16,20,20,20,18,17,18,17,19,19,20,20,19,19,17,20,19,20,16,20,20,15,19,20,18.85714286,1.508354161,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
