,feature/ exemplar ENGLISH,,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
feature / exemplar DUTCH,,freq,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
heeft een kromme bek,has a hooked bill,9,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0
heeft een lange nek,has a long neck,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
heeft een puntige bek,has a pointed mouth,37,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0
heeft een rood borstje,has a red breast,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
heeft een snavel,has a bill,136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
heeft een staart,has a tail,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
heeft grote bek,has a big bill,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
heeft grote klauwen,has big claws ,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
heeft grote ogen,has large eyes,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
heeft klauwen,has claws,19,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
heeft korte poten,has short paws,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
heeft lange poten,has long paws,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
heeft mooie staart,has a beautiful tail,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
heeft mooie veren,has beautiful feathers,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
heeft oog op veer,has an eye on its feathers,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
heeft rode kwab hangen,has a red dewlap,10,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
