,feature/ exemplar ENGLISH,,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,slingshot,club,machine gun,pistol,shield,spear,stick,tank,rope,double barrelled shotgun,sword,whip
feature / exemplar DUTCH,,freq,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bestaat al lang,has been existing for a long time,15,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1
bestaat in verschillende formaten,exists in different measurements,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
bestaat in verschillende groottes,exists in different sizes,16,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bestaat in verschillende kleuren,exists in different colors,29,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
bestaat in verschillende lengtes,exists in different lengths,9,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1
bestaat in verschillende maten,exists in different sizes,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
bestaat in verschillende soorten,exists in different kinds,16,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1
bestaat in verschillende vormen,exists in different forms,11,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0
bestaat uit verschillende materialen,exists in different materials,6,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
bevat kogels,contains bullets,54,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
bevindt zich in een museum,is found in a museum,8,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0
bevindt zich op een schip,is found in a boat,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
daar hak je hout mee,is used to chop wood,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dient om een boomhut mee te maken,is used to make a (tree) cabin,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
dient om iets op te hangen,is used to hang something on,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
