,feature/ exemplar ENGLISH,,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,slingshot,club,machine gun,pistol,shield,spear,stick,tank,rope,double barrelled shotgun,sword,whip
feature / exemplar DUTCH,,freq,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
het weegt niet veel,does not weigh much,4,0,0,4,3,3,0,4,0,4,0,0,1,0,2,3,0,4,0,0,4
hoort bij een harnas,belongs to a harnas,4,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,3,0
hoort bij een paard,belongs to a horse,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
is agressief,is agressive,6,4,2,3,0,4,4,4,4,2,4,4,4,0,2,0,4,0,2,3,1
is bloederig,is bloody,5,2,3,2,0,4,1,3,2,0,1,3,3,0,2,0,1,0,2,3,0
is bruin,is brown,38,0,0,0,1,0,0,0,0,1,4,0,0,0,2,4,0,1,0,0,1
is dik,is thick,7,2,1,0,0,0,0,0,4,0,2,0,0,1,0,1,1,0,0,0,0
is dun,is thin,9,1,2,3,4,4,2,0,0,1,0,1,0,1,4,1,0,3,1,3,4
is duur,is expensive,8,3,0,1,1,1,2,2,3,0,0,2,2,0,1,0,3,0,2,0,0
is een geweer,is a gun,27,1,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,4,0,0
is een halve cirkel,is half a circle,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is een machtsmiddel,is a means of power,5,1,0,0,1,1,1,1,1,0,1,1,2,0,0,0,3,0,1,2,2
is een mes,is a knife,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
is een onderdeel van de schildpad,is part of the turtle,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
is een vervoersmiddel,is a means of transport ,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
is een verzamelobject,is a collector's item,5,0,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,2,4,0
is een voertuig,is a vehicle,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
is een werktuig,is a piece of equipment,7,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
is geladen,is loaded,4,4,0,0,1,0,4,0,4,1,0,4,4,0,0,0,3,0,4,0,0
is gemaakt van een tak,is made of a branch,9,0,0,0,1,0,0,0,0,3,3,0,0,0,2,4,0,0,0,0,0
is gemaakt van staal,is made of steel,8,4,4,3,1,4,4,3,4,0,0,4,4,4,1,0,4,0,4,4,0
is gereedschap,is a tool,8,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1
is geurloos,is odourless,8,2,4,4,4,4,2,2,1,4,4,1,2,4,3,3,2,3,1,4,4
is gevaarlijk,is dangerous,108,4,4,3,4,4,4,4,4,1,3,4,4,1,4,0,4,0,4,4,3
is gevlochten,is braided,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
is gewelddadig,is violent,11,4,1,3,3,4,4,4,4,2,3,4,4,1,2,0,4,0,3,3,2
is grijs,is grey,27,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,2,0,1,2,0
is groen,is green,24,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4,0,0,0,0
is groot,is big,32,2,1,0,1,0,0,0,4,0,1,0,0,1,1,0,4,0,2,0,0
is handig,comes in very handy,7,0,4,0,2,0,0,0,0,2,0,0,0,1,1,1,1,4,0,0,2
