,feature/ exemplar ENGLISH,,viper,alligator,boa,cobra,dinosaur,gecko,lizard,blindworm,caiman,chameleon,frog,crocodile,iguana,toad,python,salamander,tortoise,snake,monitor lizard,turtle
feature / exemplar DUTCH,,freq,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
angstaanjagend,is terrifying,3,3,4,4,4,3,1,1,1,4,1,1,4,3,1,4,1,0,4,4,0
eet insecten,eats insects,2,1,1,1,1,1,3,4,3,1,4,4,1,2,4,1,3,2,1,2,2
er zijn verschillende soorten,there are many kinds of it,2,4,4,3,3,4,3,4,2,2,3,4,4,4,4,2,4,4,4,4,4
gevaarlijk,is dangerous,6,3,3,3,4,2,1,1,0,4,1,1,4,1,0,4,1,0,4,2,0
heeft een lange tong,has a long tongue,2,3,0,3,3,0,1,1,2,0,3,2,0,2,2,3,1,0,3,1,0
heeft een staart,has a tail,3,1,4,1,1,4,4,4,1,4,4,0,4,4,0,1,4,1,1,4,1
heeft geen poten,has no paws,2,4,0,4,4,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0
heeft schubben,has scales,15,3,4,3,3,2,4,4,3,4,4,0,4,4,0,3,2,0,3,4,0
heeft tanden,has teeth,2,4,4,3,4,4,3,3,1,3,2,0,4,3,0,3,2,2,4,3,2
heeft vier poten,has four paws,3,0,4,0,0,4,4,4,0,4,4,4,4,4,4,0,4,4,0,4,4
is een dier,is an animal,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
is een exotisch dier,is an exotic animal,4,2,4,4,4,0,4,0,0,4,4,0,4,4,0,4,0,2,4,3,3
is glibberig,is slippery,2,2,0,1,1,0,0,0,3,0,0,4,0,0,4,1,2,0,1,0,0
is groen,is green,8,2,3,1,2,3,3,3,0,3,2,4,3,3,2,2,2,3,2,3,4
is lelijk,is ugly,2,2,2,1,2,2,1,1,3,2,1,1,2,1,2,1,1,1,2,2,1
is vies,is nasty,2,2,2,1,2,2,1,1,3,2,1,1,2,2,2,1,1,1,1,2,1
kan giftig zijn,can be poisonous,3,4,0,1,4,0,0,0,0,0,0,2,0,0,2,2,0,0,4,0,0
koudbloedig,is cold-blooded,12,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4
leeft in de zoo,lives in the zoo,6,4,4,4,4,0,4,3,2,4,4,3,4,4,2,4,3,3,4,3,3
leeft in water,lives in water,2,0,4,0,0,0,0,0,0,3,0,4,4,0,3,0,2,0,0,0,4
leeft op het land,lives on land  ,4,4,2,4,4,4,4,4,4,2,4,3,2,4,4,4,2,4,4,4,1
leeft op het land en in het water,lives on land and sea,5,0,4,0,0,0,0,0,0,3,0,4,4,0,3,0,0,2,1,0,2
legt eieren,lays eggs,17,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,3,4,4,4,4
soort slang,kind of snake,4,4,0,4,4,0,0,0,2,0,0,0,0,0,0,4,0,0,3,0,0
soort van krokodil,kind of crocodile,4,0,4,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0
stamt af van de dinosauriërs,descend from the dinosaur,3,0,2,0,0,3,2,2,0,2,2,0,2,2,0,0,1,2,0,3,0
gaat dood,dies,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
heeft longen,has lungs,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
houdt winterslaap,hibernates,2,3,1,2,2,1,1,3,3,1,2,3,1,2,3,2,2,2,2,2,2
is een schildpad,is a turtle,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
is gewerveld,is a vertebrate,3,3,4,3,3,4,4,4,3,4,4,4,4,4,4,3,4,3,3,4,3
is griezelig,is creepy,3,3,4,4,4,3,2,2,1,4,2,1,4,3,1,4,2,1,4,3,1
kan bijten,can bite,2,4,4,4,4,4,2,2,1,4,1,1,4,2,1,4,1,3,4,4,2
kan gevaarlijk zijn,can be dangerous,4,4,4,4,4,4,1,0,0,4,0,1,4,2,0,4,0,0,4,4,0
wordt soms als huisdier gehouden,is sometimes kept as a pet,6,0,0,2,0,0,0,1,0,0,0,1,0,1,1,2,1,3,3,0,3
