,feature/ exemplar ENGLISH,,car,boat,scooter,motorbike,bus,truck,van,trailer,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,kick scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
feature / exemplar DUTCH,,freq,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
maakt lawaai,produces noise,6,4,4,4,4,4,4,4,0,3,0,1,4,4,4,3,3,3,4,4,4,0,0,0,4,4,4,4,4,4,4
verbruikt brandstof,uses fuel,4,4,4,4,4,4,4,4,0,4,0,0,4,4,4,0,0,4,1,4,4,0,0,0,4,4,2,2,4,4,4
wordt gebruikt voor lange afstanden,used for long distances,2,4,4,0,0,4,3,3,3,3,0,0,4,4,2,0,0,2,1,4,3,0,0,0,1,0,1,4,4,3,3
bestaat in verschillende groottes,exists in different sizes,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3
er zijn verschillende types van,different types are available,2,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,3,3,4,4,3,4,4,3,4,4,4,4,4,3
geeft je vrijheid,provides you with freedom,3,4,2,4,4,0,1,2,3,0,4,0,3,1,3,0,2,1,0,4,0,0,1,0,3,1,0,0,1,1,0
heeft een technische evolutie doorgemaakt,has gone through a technological revolution,4,4,4,3,3,4,4,4,3,4,3,2,4,4,4,2,2,3,4,4,4,2,2,2,4,4,4,4,4,4,3
is onmisbaar,is indispensable,2,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0
is snel,is fast,4,4,0,2,4,3,3,3,0,2,0,1,4,4,4,0,0,0,4,4,4,0,0,0,4,1,3,4,4,3,0
je kan er dingen mee vervoeren,you can transport things with it,6,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,0,3,0,4,4,4,4,4,4,3
je kan je ermee verplaatsen,can be used to get from one place to the other,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
kan bewegen,can move,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
kan je met meerdere personen inzitten,has room for several people,2,4,4,3,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,0,3,0,4,4,4,4,4,4,4
kan ongelukken veroorzaken,can cause accidents,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
koop je in de winkel,bought in a store,2,2,0,3,3,0,0,1,1,0,4,3,0,0,2,3,1,0,0,2,0,4,4,4,0,0,0,0,0,0,0
verplaats je je sneller mee dan te voet,is a faster form of transport than going by foot,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
wordt bestuurd,is operated,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4
wordt mechanisch aangedreven,is driven by meachanical means,2,4,4,4,4,4,4,4,2,4,0,1,4,4,4,0,0,2,4,4,4,0,0,0,4,4,4,4,4,4,4
wordt veel gebruikt,is used a lot,3,4,3,4,4,4,4,4,2,0,4,1,0,1,3,0,0,0,4,4,0,1,1,2,4,3,4,4,4,4,0
