aambeeld,anvil,-1,20,13,26,12,28,23,24,27,28,22,27,26,20,25,22,29,27,30,29
beitel,chisel,6,4,2,11,16,20,14,7,10,7,6,6,7,4,3,15,9,15,8,7
bijl,axe,5,7,4,14,7,7,4,12,6,9,19,14,4,12,6,8,5,19,12,16
boormachine,drill,18,6,8,15,9,1,2,10,16,11,7,21,3,10,18,1,7,4,14,5
breekijzer,crowbar,-1,12,21,28,15,9,7,19,14,6,12,12,21,6,5,24,17,12,11,21
engelse sleutel,adjustable spanner,12,13,5,9,5,10,13,4,8,13,11,3,13,7,9,5,3,6,20,4
grasmachine,lawn mower,26,25,26,30,26,5,26,28,29,24,28,24,27,25,23,26,21,23,16,17
hamer,hammer,1,1,1,1,1,6,10,1,1,1,1,2,1,1,1,3,1,1,2,2
houtklem,clamp,25,15,11,20,13,24,24,9,18,21,17,18,15,15,12,23,12,18,29,18
houweel,pickaxe,10,16,12,12,-1,11,5,13,21,20,21,10,11,27,20,9,19,14,18,19
koevoet,crowbar,16,21,14,27,10,16,6,20,15,18,15,13,12,26,15,27,16,16,7,22
kruiwagen,wheelbarrow,14,18,10,6,27,27,19,27,17,17,25,22,6,23,24,14,22,24,19,23
mes,knife,11,2,28,7,14,12,15,17,9,5,18,15,17,29,10,13,11,11,1,11
moersleutel,wrench,3,19,7,16,11,17,12,3,11,19,10,5,24,11,16,11,8,5,13,8
oliespuit,oilcan,19,28,20,17,18,22,22,26,26,26,20,26,18,22,21,25,26,21,23,28
plamuurmes,filling-knife,17,-1,17,18,19,26,17,11,13,23,16,8,9,19,21,18,23,8,27,12
ploeg,plough,20,22,19,22,21,30,1,22,28,25,26,16,23,21,22,21,30,28,26,30
schaaf,plane,24,11,-1,19,-1,8,-1,8,20,15,14,15,19,17,13,19,13,10,25,9
schop,shovel,8,3,6,8,4,13,18,18,7,4,5,11,10,8,7,7,4,13,6,14
schroevendraaier,screwdriver,7,9,16,2,3,2,11,2,4,2,3,3,8,3,17,4,2,2,3,1
slijpschijf,grinding disc,13,23,15,10,17,19,3,14,23,8,8,20,28,9,19,10,27,22,15,13
spijker,nail,15,5,23,3,20,4,28,21,5,30,27,30,30,13,29,6,25,26,9,27
staalborstel,wire brush,-1,29,18,23,-1,23,20,25,25,27,23,17,22,-1,11,20,15,20,28,24
stofzuiger,vacuum cleaner,27,14,29,29,25,14,27,29,30,29,29,28,25,28,28,30,28,30,17,26
tang,tongs,2,10,3,4,2,15,9,5,2,12,4,4,5,5,4,12,24,7,5,20
touw,rope,23,24,27,24,24,29,29,30,24,22,30,29,29,14,26,28,20,25,10,25
verfborstel,paint brush,9,27,22,25,23,21,21,23,19,14,24,25,20,24,27,17,18,23,22,15
vijl,file,21,26,25,21,6,18,16,15,12,16,9,9,16,18,8,29,10,17,21,6
waterpas,level,22,8,24,5,22,18,25,16,22,10,13,23,14,16,14,16,14,9,24,10
zaag,saw,4,17,9,13,8,3,8,6,3,3,2,7,2,2,2,2,6,3,4,3
