,,log(lemmaFreq),age of acquisition,% known,"(estimated reliability = 0,95)",,,,,,,,,,,,,,,,,,,
bij,bee ,5.21,5.08,98.44,,,,,,,,,,,,,,,,,,,,
bloedzuiger,leech,1.76,10.38,98.70,,,,,,,,,,,,,,,,,,,,
daas,horsefly,1.30,10.11,91.40,,,,,,,,,,,,,,,,,,,,
duizendpoot,centipede,1.38,7.25,97.66,,,,,,,,,,,,,,,,,,,,
fruitvlieg,fruit fly,0.00,11.71,93.56,,,,,,,,,,,,,,,,,,,,
hommel,bumblebee,1.68,8.65,99.74,,,,,,,,,,,,,,,,,,,,
kakkerlak,cockroach,2.00,8.52,98.97,,,,,,,,,,,,,,,,,,,,
kever,beetle,2.16,6.33,98.96,,,,,,,,,,,,,,,,,,,,
krekel,cricket,2.15,7.87,97.90,,,,,,,,,,,,,,,,,,,,
libel,dragonfly,1.92,8.05,98.68,,,,,,,,,,,,,,,,,,,,
lieveheersbeestje,ladybug,1.04,6.04,99.74,,,,,,,,,,,,,,,,,,,,
luis,louse,2.31,6.91,98.97,,,,,,,,,,,,,,,,,,,,
meikever,cockchafer,1.48,7.96,98.47,,,,,,,,,,,,,,,,,,,,
mier,ant,2.49,4.88,98.46,,,,,,,,,,,,,,,,,,,,
mot,moth,1.96,7.91,97.22,,,,,,,,,,,,,,,,,,,,
mug,mosquito,2.41,5.42,99.74,,,,,,,,,,,,,,,,,,,,,,
oorworm,earwig,0.48,9.50,92.56,,,,,,,,,,,,,,,,,,,,,,
pissebed,wood louse,1.48,8.46,97.67,,,,,,,,,,,,,,,,,,,,,,
rups,caterpillar,2.10,6.29,97.19,,,,,,,,,,,,,,,,,,,,,,
spin,spider,2.60,4.92,98.69,,,,,,,,,,,,,,,,,,,,,,
sprinkhaan,grasshopper,1.96,6.87,98.45,,,,,,,,,,,,,,,,,,,,,,
vlieg,fly,2.89,4.70,98.96,,,,,,,,,,,,,,,,,,,,,,
vlinder,butterfly,2.65,5.58,99.74,,,,,,,,,,,,,,,,,,,,,,
vlo,flee,2.27,6.87,97.67,,,,,,,,,,,,,,,,,,,,,,
wesp,wasp,2.24,5.92,100.00,,,,,,,,,,,,,,,,,,,,,,
worm,worm,2.63,5.63,98.46,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
