,,log(lemmaFreq),age of acquisition,% known,"(estimated reliability = 0,96)",,
aalbes,red currant,1.20,10.94,90.00,,,
aardbei,strawberry,2.31,5.39,100.00,,,
abrikoos,apricot,1.97,7.09,100.00,,,
ananas,pineapple,1.99,6.63,100.00,,,
appel,apple,3.00,4.00,100.00,,,
banaan,banana,2.42,4.46,100.00,,,
bosbes,blueberry,1.79,7.79,100.00,,,
braambessen,blackberry,1.00,6.75,100.00,,,
citroen,lemon,2.68,5.00,100.00,,,
clementine,clementine,2.42,8.75,100.00,,,
dadels,dates,1.87,9.52,95.83,,,
druif,grape,3.00,5.29,100.00,,,
framboos,raspberry,1.86,7.00,100.00,,,
kers,cherry,2.33,5.78,100.00,,,
kiwi,kiwi,1.94,6.04,100.00,,,
kokosnoot,coconut,1.78,7.17,100.00,,,
limoen,lime,1.38,9.54,100.00,,,
lychee,litchi,0.00,11.68,95.00,,,
mango,mango,1.72,10.88,100.00,,,
meloen,melon,2.15,7.08,100.00,,,
nectarine,nectarine,0.00,8.71,100.00,,,
papaya,papaya,1.18,12.40,100.00,,,
passievrucht,passion fruit,0.85,11.21,100.00,,,
peer,pear,2.63,4.75,100.00,,,
perzik,peach,2.23,6.67,100.00,,,
pompelmoes,grapefruit,0.90,8.13,100.00,,,
pompoen,pumpkin,1.92,7.38,100.00,,,
pruim,plum,2.52,6.27,95.65,,,
sinaasappel,orange,2.55,4.92,100.00,,,
vijg,fig,2.07,8.35,100.00,,,
,,,,,,,
,,,,
