,,log(lemmaFreq),age of acquisition,% known,"(estimated reliability = 0,98)",,,,,,,,,,,,,,,,,,,,,,,,
aambeeld,anvil,1.76,11.21,90.57,,,,,,,,,,,,,,,,,,,,,,,,,
beitel,chisel,2.03,9.79,98.04,,,,,,,,,,,,,,,,,,,,,,,,,
bijl,axe,2.65,7.61,98.52,,,,,,,,,,,,,,,,,,,,,,,,,
boormachine,drill,1.20,6.50,98.28,,,,,,,,,,,,,,,,,,,,,,,,,
breekijzer,crowbar,1.78,9.65,94.94,,,,,,,,,,,,,,,,,,,,,,,,,
engelse sleutel,adjustable spanner,0.00,11.72,89.12,,,,,,,,,,,,,,,,,,,,,,,,,
grasmachine,lawn mower,0.60,5.05,99.75,,,,,,,,,,,,,,,,,,,,,,,,,
hamer,hammer,2.65,6.75,98.29,,,,,,,,,,,,,,,,,,,,,,,,,
houtklem,clamp,0.00,12.08,76.60,,,,,,,,,,,,,,,,,,,,,,,,,
houweel,pickaxe,1.60,11.16,90.00,,,,,,,,,,,,,,,,,,,,,,,,,
koevoet,crowbar,1.43,10.26,96.58,,,,,,,,,,,,,,,,,,,,,,,,,
kruiwagen,wheelbarrow,2.29,6.13,99.51,,,,,,,,,,,,,,,,,,,,,,,,,
mes,knife,3.24,4.67,98.48,,,,,,,,,,,,,,,,,,,,,,,,,
moersleutel,wrench,0.30,10.48,98.03,,,,,,,,,,,,,,,,,,,,,,,,,
oliespuit,oilcan,0.00,11.42,88.96,,,,,,,,,,,,,,,,,,,,,,,,,
plamuurmes,filling-knife,1.57,10.80,89.46,,,,,,,,,,,,,,,,,,,,,,,,,
ploeg,plough,2.61,7.20,99.01,,,,,,,,,,,,,,,,,,,,,,,,,
schaaf,plane,0.90,10.35,82.43,,,,,,,,,,,,,,,,,,,,,,,,,
schop,shovel,2.60,4,98.78,,,,,,,,,,,,,,,,,,,,,,,,,
schroevendraaier,screwdriver,0.00,8.67,97.82,,,,,,,,,,,,,,,,,,,,,,,,,
slijpschijf,grinding disc,0.00,11.40,96.37,,,,,,,,,,,,,,,,,,,,,,,,,
spijker,nail,2.64,7.30,99.03,,,,,,,,,,,,,,,,,,,,,,,,,
staalborstel,wire brush,0.60,11.83,84.58,,,,,,,,,,,,,,,,,,,,,,,,,
stofzuiger,vacuum cleaner,2.13,4.85,99.50,,,,,,,,,,,,,,,,,,,,,,,,,
tang,tongs,2.36,7.43,96.88,,,,,,,,,,,,,,,,,,,,,,,,,
touw,rope,3.18,5.00,96.71,,,,,,,,,,,,,,,,,,,,,,,,,
verfborstel,paint brush,0.00,4.55,98.50,,,,,,,,,,,,,,,,,,,,,,,,,
vijl,file,1.61,9.70,97.55,,,,,,,,,,,,,,,,,,,,,,,,,
waterpas,level,1.18,10.04,96.62,,,,,,,,,,,,,,,,,,,,,,,,,
zaag,saw,2.06,6.78,98.54,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
