,,log(lemmaFreq),age of acquisition,% known,"(estimated reliability = 0,94)",,
aardappel,potato,3.07,4.70,100.00,,,
ajuin,onions,1.08,6.50,100.00,,,
asperges,asparagus,2.02,7.61,95.83,,,
aubergine,eggplant,1.85,11.21,100.00,,,
augurken,gherkins,1.88,7.30,100.00,,,
biet,beet,2.12,8.17,100.00,,,
bloemkool,cauliflower,1.98,6.35,100.00,,,
bonen,beans,2.81,5.71,100.00,,,
champignons,mushrooms,2.46,6.79,100.00,,,
courgette,zucchini,1.41,10.50,100.00,,,
erwten,peas,2.31,5.71,100.00,,,
kervel,chervil,1.77,9.54,100.00,,,
komkommer,cucumber,2.18,7.21,100.00,,,
look,garlic,1.57,9.42,100.00,,,
maïs,corn,2.54,7.25,100.00,,,
paprika,pepper,2.35,8.08,100.00,,,
peterselie,parsley,2.57,7.58,100.00,,,
prei,leek,2.21,6.58,100.00,,,
radijs,radish,1.69,7.13,100.00,,,
rode kool,red cabbage,0.00,5.40,100.00,,,
schorseneren,black salsify,1.08,9.61,100.00,,,
selder,celery,1.11,7.63,100.00,,,
sla,lettuce,4.44,5.67,100.00,,,
spinazie,spinach,2.12,5.92,100.00,,,
spruiten,Brussels sprouts,2.37,5.83,100.00,,,
tomaat,tomato,2.59,4.96,100.00,,,
waterkers,water cress,1.69,7.95,100.00,,,
witloof,endive,0.95,6.46,100.00,,,
witte kool,white cabbage,0.00,7.05,100.00,,,
wortel,carrot,3.33,4.91,100.00,,,
,,,,,,,
,,,,
