,,log(lemmaFreq),age of acquisition,% known,"(estimated reliability = 0,95)",,,,,,,,,,,,,,,,,,,,,,,,
auto,car,3.94,4.39,98.31,,,,,,,,,,,,,,,,,,,,,,,,,
boot,boat,3.45,5.00,98.79,,,,,,,,,,,,,,,,,,,,,,,,,
bromfiets,scooter,2.09,8.78,99.26,,,,,,,,,,,,,,,,,,,,,,,,,
brommer,motorbike,2.39,7.25,99.51,,,,,,,,,,,,,,,,,,,,,,,,,
bus,bus,3.39,4.92,98.78,,,,,,,,,,,,,,,,,,,,,,,,,
camion,truck,1.36,6.04,98.28,,,,,,,,,,,,,,,,,,,,,,,,,
camionette,van,0.00,7.92,97.95,,,,,,,,,,,,,,,,,,,,,,,,,
caravan,trailer ,2.18,7.33,99.51,,,,,,,,,,,,,,,,,,,,,,,,,
duikboot,submarine,1.86,7.88,99.50,,,,,,,,,,,,,,,,,,,,,,,,,
fiets,bicycle,3.31,4.57,99.01,,,,,,,,,,,,,,,,,,,,,,,,,
gocart,go-cart,0.00,6.68,97.82,,,,,,,,,,,,,,,,,,,,,,,,,
helikopter,helicopter,2.62,6.91,99.25,,,,,,,,,,,,,,,,,,,,,,,,,
hovercraft,hovercraft,0.00,12.86,89.35,,,,,,,,,,,,,,,,,,,,,,,,,
jeep,jeep,2.63,7.74,97.85,,,,,,,,,,,,,,,,,,,,,,,,,
kar,cart,2.83,5.04,99.50,,,,,,,,,,,,,,,,,,,,,,,,,
koets,carriage,2.54,6.75,99.02,,,,,,,,,,,,,,,,,,,,,,,,,
luchtballon,(hot air) balloon,1.54,6.58,98.54,,,,,,,,,,,,,,,,,,,,,,,,,
metrostel,subway train,0.00,8.96,94.39,,,,,,,,,,,,,,,,,,,,,,,,,
moto,motorbike,1.51,7.96,98.07,,,,,,,,,,,,,,,,,,,,,,,,,
raket,rocket,2.70,7.63,99.50,,,,,,,,,,,,,,,,,,,,,,,,,
skateboard,skateboard,0.00,8.29,97.59,,,,,,,,,,,,,,,,,,,,,,,,,
slede,sled,2.10,5.17,98.79,,,,,,,,,,,,,,,,,,,,,,,,,
step,kick scooter,1.46,9.30,97.13,,,,,,,,,,,,,,,,,,,,,,,,,
taxi,taxi,3.08,8.29,97.57,,,,,,,,,,,,,,,,,,,,,,,,,
tractor,tractor,2.26,6.21,99.75,,,,,,,,,,,,,,,,,,,,,,,,,
tram,tram,2.93,7.91,99.26,,,,,,,,,,,,,,,,,,,,,,,,,
trein,train,3.54,4.71,99.26,,,,,,,,,,,,,,,,,,,,,,,,,
vliegtuig,airplane,3.34,5.83,100.00,,,,,,,,,,,,,,,,,,,,,,,,,
vrachtwagen,truck,2.94,5.21,99.01,,,,,,,,,,,,,,,,,,,,,,,,,
zeppelin,Zeppelin,1.38,9.54,97.07,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,
