,,log(lemmaFreq),age of acquisition,% known,"(estimated reliability = 0,96)"
badminton,badminton,1.11,8.42,100.00,
ballet,ballet,2.22,6.38,100.00,
baseball,baseball,1.20,9.00,100.00,
basketbal,basketball,1.34,7.58,100.00,
biljarten,billiards,2.16,9.54,100.00,
boksen,boxing,2.33,8.00,100.00,
golf,golfing,3.62,8.04,95.83,
handbal,handball,0.60,9.30,100.00,
hardlopen,running,2.37,8.04,95.83,
ijshockey,ice hockey,0.85,9.71,100.00,
judo,judo,1.38,8.04,100.00,
kogelstoten,shot-put,0.00,10.52,95.83,
paardrijden,horseback riding,2.54,6.65,100.00,
rugby,rugby,1.34,9.87,95.83,
schaken,chess,2.64,9.00,100.00,
schermen,fencing,3.04,10.39,95.83
skiën,skiing,2.23,8.04,95.83
sportvissen,sport fishing,0.00,9.50,100.00
squash,squash,0.85,10.78,100.00
surfen,surfing,1.11,8.70,100.00
tafeltennis,table tennis,1.41,8.48,100.00
tennis,tennis,2.49,7.04,100.00
turnen,gymnastics,1.98,4.45,100.00
verspringen,long jump,2.29,8.30,100.00
voetbal,soccer,2.86,5.83,100.00
volleybal,volleyball,1.51,8.50,100.00
wandelen,walking,3.70,3.60,100.00
wielrennen,cycling,1.99,7.10,100.00
zeilen,sailing,3.17,8.50,100.00
zwemmen,swimming,3.50,5.17,100.00
,,,,
,,,,
